B (Tesla) ,P
0 ,0
0.040538693000000001 ,18.03178196
0.045791722 ,23.81286195
0.051725440999999997 ,29.74609439
0.057882980000000001 ,39.28284185
0.063570619999999994 ,48.5277704
0.067248063999999996 ,59.94842503
0.073166922999999995 ,78.29243614
0.083426221999999994 ,100
0.095124056999999998 ,138.0691396
0.103496431 ,184.3743419
0.11473647200000001 ,243.4856831
0.126010593 ,339.9389794
0.14367951200000001 ,453.9466661
0.15928356399999999 ,573.3952703
0.17493492599999999 ,708.3396392
0.19033187800000001 ,925.0891235
