"H (A_per_meter)" 	"B (tesla)"
-1406000 	-1.8289
-1402000 	-1.2532000000000001
-1394000 	-0.99380000000000002
-1373000 	-0.83999999999999997
-1357000 	-0.78720000000000001
-1340000 	-0.74919999999999998
-1323000 	-0.71750000000000003
-1307000 	-0.68910000000000005
-1290000 	-0.66259999999999997
-1274000 	-0.63729999999999998
-1257000 	-0.6129
-1241000 	-0.58899999999999997
-1224000 	-0.5655
-1208000 	-0.54239999999999999
-1191000 	-0.51949999999999996
-1175000 	-0.49680000000000002
-1158000 	-0.47420000000000001
-1142000 	-0.45179999999999998
-1125000 	-0.42949999999999999
-1108000 	-0.4073
-1092000 	-0.3851
-1075000 	-0.36299999999999999
-1059000 	-0.34100000000000003
-1042000 	-0.31900000000000001
-1026000 	-0.29699999999999999
-1009000 	-0.27510000000000001
-993000 	-0.25319999999999998
-976000 	-0.23139999999999999
-960000 	-0.20960000000000001
-943000 	-0.18770000000000001
-926000 	-0.16600000000000001
-910000 	-0.14419999999999999
-893000 	-0.12239999999999999
-877000 	-0.1007
-860000 	-0.079000000000000001
-844000 	-0.057299999999999997
-827000 	-0.0356
-811000 	-0.013899999999999999
-794000 	0.0077999999999999996
-778000 	0.029499999999999998
-761000 	0.051200000000000002
-744000 	0.072800000000000004
-728000 	0.094500000000000001
-711000 	0.11609999999999999
-695000 	0.13769999999999999
-678000 	0.15939999999999999
-662000 	0.18099999999999999
-645000 	0.2026
-629000 	0.2243
-612000 	0.24590000000000001
-596000 	0.26750000000000002
-579000 	0.28910000000000002
-562000 	0.31069999999999998
-546000 	0.33229999999999998
-529000 	0.35389999999999999
-513000 	0.3755
-496000 	0.39710000000000001
-480000 	0.41870000000000002
-463000 	0.44019999999999998
-447000 	0.46179999999999999
-430000 	0.4834
-414000 	0.505
-397000 	0.52659999999999996
-381000 	0.54810000000000003
-364000 	0.56969999999999998
-347000 	0.59130000000000005
-331000 	0.6129
-314000 	0.63439999999999996
-298000 	0.65600000000000003
-281000 	0.67759999999999998
-265000 	0.69910000000000005
-248000 	0.72070000000000001
-232000 	0.74219999999999997
-215000 	0.76380000000000003
-199000 	0.78539999999999999
-182000 	0.80689999999999995
-165000 	0.82850000000000001
-149000 	0.84999999999999998
-132000 	0.87160000000000004
-116000 	0.8931
-99000 	0.91469999999999996
-83000 	0.93630000000000002
-66000 	0.95779999999999998
-50000 	0.97940000000000005
-33000 	1.0008999999999999
-17000 	1.0225
0 	1.044
