Test name ; Demo CE - Automotive HVAC
Method ; Comparative Evaluation
Low-range anchor ; carHVAC15
High-range anchor ; carHVAC10

Groups names;All participants; ; ; ;
;Mean;Median;Standard deviation;Standard error;95% confidence interval width
carHVAC1;27.8966;23;21.2693;3.9496;15.4824
carHVAC2;29.5862;29;15.3309;2.84688;11.1598
carHVAC3;89.1034;91;11.6077;2.1555;8.44955
carHVAC4;25.3793;17;24.6539;4.57812;17.9462
carHVAC5;91.7586;96;9.89825;1.83806;7.20519
carHVAC6;43.4483;42;19.0555;3.53852;13.871
carHVAC7;35.4138;32;18.2552;3.3899;13.2884
carHVAC8;84.7241;86;10.8328;2.0116;7.88548
carHVAC9;53.8966;43;32.768;6.08486;23.8526
carHVAC10;97.5287;99.3333;2.99274;0.555738;2.17849
carHVAC11;12.2414;9;15.7427;2.92335;11.4595
carHVAC12;56.8966;56;15.6304;2.9025;11.3778
carHVAC13;48.1724;54;23.107;4.29086;16.8202
carHVAC14;93.0345;93;7.34109;1.36321;5.34377
carHVAC15;1.65517;0;3.69629;0.686384;2.69062
carHVAC16;60.1724;67;15.1541;2.81405;11.0311
carHVAC17;61;59;17.8666;3.31774;13.0055
carHVAC18;93.7586;98;8.12692;1.50913;5.91579
carHVAC19;3.37931;0;4.91654;0.912979;3.57888
carHVAC20;9.7931;8;10.0441;1.86515;7.31137
