Frequency (Hz)	flute (0.00s - 3.54s) PSD (dB/Hz)
0.00	3.82
2.69	0.05
5.38	-3.65
8.07	-5.62
10.77	-4.97
13.46	-3.68
16.15	-3.23
18.84	-7.60
21.53	-11.10
24.22	-9.13
26.92	-7.98
29.61	-5.96
32.30	-6.79
34.99	-5.20
37.68	0.12
40.37	1.50
43.07	-0.22
45.76	-0.55
48.45	2.97
51.14	3.95
53.83	4.49
56.52	3.49
59.22	4.15
61.91	5.76
64.60	5.02
67.29	3.08
69.98	2.11
72.67	3.14
75.37	5.21
78.06	7.03
80.75	9.71
83.44	11.80
86.13	11.91
88.82	11.55
91.52	7.77
94.21	9.62
96.90	10.54
99.59	11.05
102.28	12.82
104.97	12.92
107.67	11.96
110.36	10.18
113.05	12.31
115.74	14.12
118.43	14.53
121.12	14.45
123.82	15.08
126.51	14.05
129.20	14.78
131.89	16.00
134.58	15.51
137.27	12.05
139.97	12.40
142.66	14.96
145.35	15.76
148.04	18.27
150.73	19.08
153.42	15.78
156.12	13.72
158.81	11.08
161.50	8.08
164.19	10.58
166.88	14.02
169.57	12.51
172.27	8.18
174.96	5.03
177.65	7.87
180.34	8.45
183.03	9.71
185.72	11.40
188.42	9.53
191.11	9.22
193.80	10.79
196.49	9.41
199.18	8.02
201.87	7.80
204.57	10.10
207.26	10.23
209.95	8.76
212.64	11.47
215.33	12.36
218.02	11.47
220.72	12.90
223.41	13.18
226.10	17.13
228.79	20.09
231.48	19.63
234.17	20.10
236.87	20.48
239.56	20.65
242.25	22.53
244.94	24.69
247.63	24.98
250.32	27.67
253.02	33.86
255.71	39.20
258.40	53.50
261.09	64.02
263.78	62.95
266.47	49.00
269.17	34.05
271.86	31.76
274.55	27.80
277.24	22.74
279.93	20.34
282.62	17.26
285.31	13.95
288.01	12.97
290.70	11.93
293.39	11.29
296.08	11.50
298.77	10.82
301.46	9.43
304.16	7.17
306.85	5.20
309.54	5.10
312.23	1.89
314.92	2.16
317.61	4.21
320.31	5.24
323.00	5.68
325.69	4.55
328.38	3.14
331.07	5.95
333.76	6.66
336.46	5.18
339.15	6.24
341.84	7.96
344.53	10.16
