[Name],,,,,
Inflow,,,,,

[Spatial Fields],,,,,
r,,,,,

[Data],,,,,
r [ m ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity Axial, Velocity Circumferential,Velocity Radial
0.254203,95604.855,288.15,1,0,0
0.251765,98918.346,288.15,1,0,0
0.248412,100914.547,288.15,1,0,0
0.24445,101532.66,288.15,1,0,0
0.240182,101745.453,288.15,1,0,0
0.23622,101816.384,288.15,1,0,0
0.232258,101745.453,288.15,1,0,0
0.22799,101674.522,288.15,1,0,0
0.222504,101745.453,288.15,1,0,0
0.216713,101816.384,288.15,1,0,0
0.210922,101877.182,288.15,1,0,0
0.205435,101877.182,288.15,1,0,0
0.199644,101877.182,288.15,1,0,0
0.195682,101877.182,288.15,1,0,0
0.191414,101877.182,288.15,1,0,0
0.187452,101877.182,288.15,1,0,0
0.18349,101735.32,288.15,1,0,0
0.179222,99951.912,288.15,1,0,0
