[Name]
mode1

[Parameters]
Frequency = 1152.13 [Hz]
Maximum Displacement = 0.00128982673254976 [m] 

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], meshdisptot x [ m ], meshdisptot y [ m ], meshdisptot z [ m ]
0.177,-0.0209,0.000631,0,0,0
0.18,-0.0209,0.000773,1.48E-06,-5.67E-07,2.51E-06
0.184,-0.021,0.000952,3.56E-06,-2.03E-07,3.97E-06
0.188,-0.0212,0.00119,6.64E-06,5.28E-06,-5.47E-07
0.192,-0.0214,0.00146,1.07E-05,1.69E-05,-1.23E-05
0.195,-0.0216,0.00174,1.55E-05,3.44E-05,-3.06E-05
0.199,-0.0218,0.002,2.05E-05,5.68E-05,-5.46E-05
0.203,-0.022,0.00226,2.63E-05,8.48E-05,-8.52E-05
0.206,-0.0224,0.00257,3.45E-05,0.000119,-0.000124
0.21,-0.0228,0.00288,4.35E-05,0.000159,-0.000171
0.214,-0.023,0.00314,5.01E-05,0.000203,-0.000223
0.217,-0.0231,0.00336,5.60E-05,0.000252,-0.000281
0.221,-0.0234,0.00359,6.39E-05,0.000305,-0.000346
0.225,-0.0236,0.0039,7.28E-05,0.000361,-0.000417
0.229,-0.0237,0.00429,8.17E-05,0.000421,-0.000492
0.232,-0.0237,0.00469,9.05E-05,0.000483,-0.000572
0.236,-0.0238,0.00503,9.87E-05,0.000547,-0.000656
0.24,-0.0239,0.00531,0.000106,0.000613,-0.000742
0.243,-0.024,0.0056,0.000114,0.000678,-0.00083
0.247,-0.0243,0.00606,0.000129,0.000739,-0.000915
0.251,-0.0247,0.00663,0.000148,0.000796,-0.000997
0.177,-0.0203,0.00123,0,0,0
0.181,-0.0204,0.00137,1.41E-06,-3.69E-07,2.27E-06
0.184,-0.0204,0.00154,3.60E-06,5.72E-07,3.01E-06
0.188,-0.0206,0.00177,6.77E-06,6.46E-06,-2.04E-06
0.192,-0.0208,0.00203,1.09E-05,1.83E-05,-1.40E-05
0.195,-0.021,0.00231,1.57E-05,3.57E-05,-3.23E-05
0.199,-0.0212,0.00257,2.06E-05,5.82E-05,-5.64E-05
