Iterations,continuity,x-velocity,y-velocity,z-velocity,k,omega
1,0.641004,0.00438046,0.00769341,0.00457831,0.426691,0.250602
2,0.617867,0.00283997,0.00483581,0.00322029,0.180938,0.203432
3,0.715677,0.00231842,0.00459152,0.00252815,0.112001,0.140398
4,0.852851,0.00251577,0.00536102,0.00270916,0.0913419,0.0917253
5,0.953792,0.00285082,0.0063224,0.00309483,0.0755674,0.0698814
6,1.05904,0.00303499,0.00697378,0.00316327,0.0591159,0.0462238
7,1.13589,0.00329089,0.00733373,0.00340735,0.0548137,0.0383147
8,1.18734,0.00360811,0.007533,0.00375019,0.0514116,0.034707
9,1.12221,0.00374684,0.00749709,0.00388205,0.0509963,0.0360327
10,1.11696,0.00386508,0.00749949,0.0039715,0.0508908,0.0359772
11,0.966924,0.00388071,0.00732627,0.00395938,0.0462554,0.0366884
12,0.89778,0.00392102,0.00707351,0.00394209,0.0431489,0.0337964
13,0.828347,0.00396613,0.00681633,0.00398594,0.0390622,0.0342491
14,0.762795,0.00395783,0.00656069,0.0039869,0.034214,0.0357704
15,0.701168,0.0039223,0.00633195,0.00395751,0.0334394,0.0335185
16,0.645551,0.00389602,0.00618968,0.00394219,0.0298054,0.0334129
17,0.598095,0.00387485,0.00607064,0.00391853,0.0304721,0.0329189
18,0.566298,0.00386758,0.00603859,0.00395485,0.0280882,0.0344654
19,0.552125,0.00391559,0.00607333,0.0040537,0.0297308,0.0318232
20,0.539586,0.00397391,0.00607075,0.0041503,0.0328452,0.0309758
21,0.523215,0.00406958,0.00602524,0.0042159,0.0326306,0.0294601
22,0.501106,0.00419838,0.00592702,0.00429437,0.0392555,0.0318999
23,0.47368,0.00432041,0.00584861,0.00438372,0.0486888,0.0332794
24,0.445952,0.00439664,0.00576582,0.00447719,0.0401188,0.0298398
25,0.417165,0.00447247,0.00570302,0.00456292,0.0329339,0.0273687
26,0.39283,0.0045428,0.00568688,0.00466601,0.0358983,0.0283092
27,0.370868,0.00461066,0.00570555,0.00474611,0.0339645,0.0280359
28,0.343361,0.00464334,0.00569377,0.00481713,0.0318518,0.0263797
29,0.318349,0.00466456,0.00563858,0.00486891,0.0313245,0.0254222
30,0.295645,0.00467744,0.00555277,0.00494186,0.0312048,0.0236243
31,0.275649,0.00473528,0.00549223,0.00502663,0.0337887,0.0261246
32,0.258849,0.00486607,0.00549606,0.00513057,0.0382701,0.0322118
33,0.237635,0.00504103,0.0055453,0.00524367,0.0358982,0.0264603
34,0.216488,0.00521494,0.00561872,0.00536466,0.0368441,0.0245397
35,0.195422,0.00534763,0.00569683,0.00546321,0.038559,0.0252421
36,0.178894,0.00546345,0.00577404,0.00554689,0.0338065,0.0252682
37,0.165929,0.00556765,0.00586036,0.00560353,0.03595,0.0272571
38,0.154871,0.00564248,0.00593588,0.00565952,0.0340807,0.023358
39,0.144596,0.00567358,0.0059867,0.00569172,0.0324938,0.0232109
40,0.134683,0.00565255,0.0060192,0.00573911,0.0332217,0.0243751
41,0.123026,0.00557273,0.00599747,0.00579132,0.0325803,0.0221615
42,0.110559,0.00547856,0.00593126,0.00580577,0.0295712,0.0194016
43,0.0997927,0.00538797,0.00588684,0.00579928,0.0329986,0.0206852
44,0.0899202,0.00534891,0.00589687,0.00581624,0.0318594,0.0195804
45,0.0820505,0.00534562,0.00591931,0.00588231,0.0307026,0.0169888
46,0.0749777,0.00540112,0.00599765,0.00597359,0.0287693,0.0151152
47,0.0686611,0.0054995,0.00607343,0.00605207,0.0280076,0.0148975
48,0.0634451,0.00561565,0.00618989,0.00615762,0.0269665,0.0155965
49,0.0584533,0.00574484,0.00633932,0.00626033,0.0255688,0.0140202
50,0.0539791,0.00588706,0.00648566,0.00642017,0.0260636,0.0143542
51,0.0503555,0.0060344,0.00661968,0.00651056,0.0234943,0.0134845
52,0.0474885,0.00617181,0.0067279,0.00655169,0.0218941,0.0121256
53,0.0447509,0.00624774,0.00678177,0.00656913,0.0205107,0.0113772
54,0.0422077,0.00624764,0.00679438,0.00654705,0.0187109,0.0100904
55,0.0397178,0.00620479,0.00672505,0.00649575,0.0181663,0.00945876
56,0.0368639,0.00610073,0.00657398,0.00638403,0.0169039,0.00817779
57,0.0338365,0.00589379,0.00633573,0.00612598,0.0139168,0.00894602
58,0.0308145,0.0056298,0.00603109,0.0058386,0.0129192,0.00864045
59,0.0279614,0.00533622,0.00565183,0.00549861,0.0118896,0.00785102
60,0.025506,0.00501153,0.00523793,0.00516776,0.0107589,0.00676976
61,0.0234209,0.00468066,0.00482119,0.00485879,0.0110866,0.00717281
62,0.021284,0.00434138,0.00442314,0.00459908,0.0133174,0.00818608
63,0.0194512,0.00401253,0.00407869,0.00432738,0.0150204,0.00851397
64,0.0179038,0.00370312,0.00378727,0.00403198,0.0118558,0.00798693
65,0.0165265,0.0034245,0.0035602,0.00371834,0.011144,0.00784457
66,0.0153697,0.00319459,0.00337193,0.00343082,0.0121728,0.00792136
67,0.0143426,0.00299982,0.00320825,0.0031953,0.0160124,0.00997137
68,0.0135079,0.00283744,0.00310868,0.00303141,0.0173411,0.0116611
69,0.0127202,0.00271322,0.00302576,0.00294544,0.0180666,0.0116628
70,0.0116296,0.00263661,0.00294211,0.00285075,0.0200322,0.0105014
71,0.0114986,0.00253153,0.00283607,0.00270848,0.0161075,0.0086459
72,0.010368,0.00240032,0.002736,0.00250846,0.0144416,0.00822417
73,0.0092228,0.0022423,0.00261394,0.00230358,0.0158157,0.00926438
74,0.00846899,0.0020837,0.00245465,0.00216381,0.019708,0.0104835
75,0.0078087,0.00193387,0.00228836,0.00208441,0.0213182,0.0109505
76,0.00723353,0.00178508,0.00211489,0.00199531,0.0191036,0.00931935
77,0.00676489,0.00165176,0.00195224,0.00183949,0.0129585,0.00690195
78,0.00641177,0.00154054,0.00181082,0.00169373,0.0109295,0.0061973
79,0.00606512,0.00143906,0.00168719,0.00157372,0.0162248,0.0075626
80,0.00564812,0.00136835,0.00156942,0.00146903,0.0175894,0.00804996
81,0.00521961,0.00131616,0.00146605,0.00141829,0.0151914,0.00813178
82,0.00504074,0.00126008,0.00140284,0.00141172,0.0165691,0.00931482
83,0.0047599,0.00119623,0.00134072,0.00138501,0.0169189,0.00824942
84,0.00464674,0.00111517,0.00127263,0.00130426,0.0153743,0.00837858
85,0.00457654,0.00101371,0.00118243,0.0012017,0.0198278,0.0111129
86,0.00427465,0.000936738,0.00111508,0.00115817,0.0133837,0.00887612
87,0.00402834,0.000908417,0.00107353,0.00108507,0.0184119,0.0108498
88,0.00376555,0.000890426,0.00104146,0.00103053,0.0192202,0.0108971
89,0.00352393,0.000869263,0.00101879,0.00101526,0.0176,0.00878181
90,0.00331974,0.000843001,0.000996404,0.000984851,0.0153935,0.00708014
91,0.00318568,0.000817083,0.000959421,0.000933359,0.0122271,0.00617294
92,0.00310295,0.000784159,0.000921838,0.000892499,0.0119677,0.00566573
93,0.0030545,0.000747692,0.000883917,0.000873573,0.0103616,0.00489892
94,0.00300173,0.000715205,0.00085059,0.00085935,0.00817082,0.00410573
95,0.00292373,0.000688135,0.000824217,0.000841374,0.00918045,0.00486204
96,0.00278145,0.000667764,0.00079919,0.000808598,0.00996211,0.00656908
97,0.00261113,0.000650053,0.000769833,0.000762455,0.0111227,0.00733041
98,0.00242078,0.000635279,0.00074797,0.000720709,0.0118925,0.00759622
99,0.00224006,0.0006328,0.000731106,0.000728256,0.0120578,0.00676534
100,0.00206988,0.000621125,0.000715266,0.000743692,0.0108976,0.00642142
101,0.00192729,0.000600495,0.000698481,0.000740427,0.0100932,0.00593029
102,0.00180555,0.000581472,0.000692559,0.000716769,0.00898617,0.00522407
103,0.0016866,0.000563047,0.000687374,0.000678427,0.00808968,0.00435775
104,0.00160947,0.000548692,0.00068099,0.000647453,0.00784225,0.00456781
105,0.00148495,0.000539012,0.000676763,0.000638588,0.00758229,0.00370054
106,0.00144995,0.000529815,0.000677362,0.000652454,0.0100895,0.00442848
107,0.00138176,0.000520569,0.000673519,0.000658016,0.0109933,0.00426667
108,0.00137387,0.000514338,0.000659762,0.000649069,0.0123373,0.00455148
109,0.00138846,0.000503569,0.000638638,0.000627417,0.0129283,0.00462035
110,0.00141035,0.000488011,0.000616634,0.00059854,0.0133065,0.00496645
111,0.00143032,0.000477275,0.000587811,0.0005648,0.0139406,0.00558241
112,0.00143684,0.000466754,0.00056168,0.000523883,0.0145777,0.00594595
113,0.00144374,0.000455747,0.000538441,0.000500375,0.015441,0.00658345
114,0.0014302,0.000441198,0.000520131,0.000500335,0.0164699,0.00720775
115,0.00140582,0.000416538,0.000507961,0.000496158,0.015613,0.00721197
116,0.00139934,0.000391344,0.000493354,0.000478936,0.0120268,0.00597766
117,0.00137677,0.000380143,0.000491268,0.000461389,0.0127213,0.00674682
118,0.00135014,0.000373138,0.000492027,0.000446544,0.0126908,0.00701083
119,0.00132272,0.000359676,0.000477029,0.000421545,0.011198,0.00628496
120,0.00130783,0.000342689,0.000451323,0.000402219,0.00908078,0.00479213
121,0.00130124,0.00032655,0.000428772,0.000392643,0.00727019,0.00389318
122,0.00129872,0.000314466,0.000412355,0.000389099,0.00640378,0.00327139
123,0.00129185,0.000307361,0.000397398,0.000391822,0.00586166,0.00305025
124,0.00127052,0.000300064,0.00038518,0.000390455,0.00483674,0.00287065
125,0.00123341,0.000291291,0.000374599,0.000377139,0.00580108,0.00335452
126,0.00118476,0.000283646,0.000363303,0.00035696,0.00644042,0.00392742
127,0.00113859,0.000282665,0.000352838,0.000337991,0.00716777,0.00396684
128,0.00108753,0.000284419,0.000346005,0.000333581,0.00711937,0.00358518
129,0.00101983,0.000292614,0.000344248,0.000357676,0.0069066,0.00355969
130,0.000994856,0.000289579,0.000337237,0.000365184,0.00645308,0.00292648
131,0.000937845,0.000285749,0.00032812,0.000359933,0.00591998,0.00266471
132,0.000930407,0.000273026,0.000314618,0.000339844,0.011657,0.00449189
133,0.000892889,0.000260112,0.000300446,0.000314758,0.00886548,0.00435319
134,0.000871227,0.000248797,0.000287319,0.000292788,0.00854388,0.00313551
135,0.00085441,0.000236703,0.000279566,0.000278443,0.00799937,0.00328296
136,0.000839228,0.00022398,0.000273301,0.000273182,0.00681335,0.00319273
137,0.000838169,0.000214886,0.000264945,0.000265667,0.00600139,0.00251954
138,0.000830612,0.000209197,0.000253876,0.000256019,0.00543141,0.00256912
139,0.000820225,0.000204632,0.000244391,0.00024361,0.00531295,0.00260433
140,0.000798264,0.000200023,0.000238974,0.00022864,0.00565798,0.0026292
141,0.000770593,0.000199343,0.000233526,0.000216148,0.00630088,0.00318454
142,0.000733715,0.000201653,0.000227937,0.000222108,0.00628717,0.00363415
143,0.000692495,0.000200185,0.000221457,0.000230797,0.00635861,0.00353857
144,0.000654352,0.000196668,0.000213298,0.000229258,0.00629019,0.00319099
145,0.000611916,0.000193646,0.000205546,0.000222848,0.00712682,0.00349543
146,0.000600587,0.000189965,0.000200668,0.000211342,0.00658512,0.00338794
147,0.000574392,0.00018794,0.000198605,0.000201441,0.00608585,0.00305407
148,0.000547465,0.00018407,0.000195635,0.000194642,0.0057312,0.00246049
149,0.000524455,0.000178895,0.000191864,0.000190374,0.00590781,0.00251219
150,0.000502012,0.000173083,0.000186388,0.000186441,0.00616812,0.00270754
151,0.000489685,0.000168802,0.000181637,0.000181956,0.00623844,0.00266942
152,0.000473119,0.00016594,0.000177583,0.000177386,0.00597678,0.0024427
153,0.000459932,0.000164358,0.000173905,0.000174175,0.00527475,0.00218367
154,0.000449005,0.000163668,0.000169697,0.000172319,0.00458063,0.00197231
155,0.000439696,0.000163751,0.00016683,0.000171152,0.00448247,0.00196363
156,0.000432001,0.000163424,0.000164621,0.000171206,0.00458169,0.00207784
157,0.000426174,0.00016268,0.000162769,0.0001707,0.00438276,0.00204369
158,0.000422267,0.000160152,0.000160736,0.000167205,0.00436744,0.00197904
159,0.000408276,0.000158626,0.000159288,0.000162605,0.0052034,0.00213169
160,0.000407119,0.000155093,0.000157763,0.000156362,0.00506686,0.0022256
161,0.000407215,0.000152192,0.000156689,0.000151656,0.0049368,0.00198885
162,0.00041748,0.000148758,0.00015557,0.000147845,0.00420354,0.00174103
163,0.000414999,0.000144885,0.000154504,0.00014465,0.00385522,0.00166104
164,0.000421105,0.00014315,0.000152824,0.000142871,0.00427632,0.00180298
165,0.000423081,0.000141949,0.000151477,0.000141518,0.0043829,0.00193561
166,0.000426404,0.000140893,0.000149729,0.000140187,0.00437952,0.00198876
167,0.000430749,0.000139081,0.000147422,0.00013892,0.0044342,0.00214728
168,0.000423118,0.000137443,0.000144828,0.000138539,0.0038097,0.0019484
169,0.000425479,0.00013423,0.000142911,0.000136442,0.003849,0.00197588
170,0.000428211,0.000131479,0.000141236,0.000135298,0.00424212,0.00194272
171,0.000444721,0.000128724,0.000140079,0.000132782,0.00721845,0.00282046
172,0.000444678,0.000127766,0.000139373,0.000132668,0.00410038,0.00173184
173,0.000445779,0.000126817,0.00013887,0.000132076,0.00460634,0.00212589
174,0.000457981,0.000125911,0.000138697,0.000130734,0.00567657,0.00277335
175,0.000451625,0.000125619,0.000137486,0.000130145,0.00357768,0.00168545
176,0.000482769,0.000123859,0.00013591,0.000128833,0.0061685,0.0025749
177,0.000469177,0.00012221,0.000135202,0.000128294,0.00321032,0.00168929
178,0.000482031,0.000120002,0.000132895,0.000126338,0.00596692,0.00269973
179,0.000490527,0.000117731,0.000131507,0.000125806,0.0049962,0.00203949
180,0.000484413,0.000114618,0.00012838,0.000123875,0.00311777,0.00145495
181,0.000480074,0.000112288,0.000124739,0.000122103,0.00456896,0.0019119
182,0.000480065,0.000109437,0.00012213,0.0001193,0.00383812,0.00163254
183,0.000478105,0.000106711,0.000120431,0.000116915,0.00462254,0.00198746
184,0.000480888,0.000106602,0.000118873,0.000117213,0.00494248,0.00240498
185,0.000484257,0.00010334,0.000117283,0.000114309,0.00594683,0.00245446
186,0.000480589,0.00010186,0.000117017,0.000112951,0.00459581,0.00188114
187,0.000482503,0.000101757,0.000117102,0.000114302,0.0041282,0.00185665
188,0.000473197,0.000102616,0.000117155,0.000117781,0.00451403,0.0022324
189,0.000466475,0.000101967,0.000116732,0.000120417,0.00452698,0.00251506
190,0.000457788,9.98107e-05,0.000115258,0.000121425,0.00430798,0.00251618
191,0.00045913,9.71991e-05,0.000114488,0.000120566,0.00406585,0.0022407
192,0.00043251,9.65741e-05,0.000113944,0.000118378,0.00654947,0.00250098
193,0.000433342,9.27034e-05,0.000112782,0.000111141,0.00388589,0.00171151
194,0.000412452,9.1764e-05,0.000112508,0.000108471,0.00745244,0.00254535
195,0.000413644,8.92867e-05,0.000110693,0.000107032,0.00438096,0.00194348
196,0.000409939,8.80993e-05,0.000109704,0.000103502,0.00500062,0.00279676
197,0.000395428,8.70327e-05,0.000106344,9.78607e-05,0.00639416,0.00401689
198,0.000387603,8.61578e-05,0.000102858,9.70331e-05,0.00407929,0.00256354
199,0.000379077,8.45201e-05,9.94663e-05,0.000100356,0.00610977,0.00296973
200,0.000366885,8.14556e-05,9.68643e-05,0.000102629,0.00668608,0.00280576
201,0.000362894,8.00834e-05,9.45758e-05,0.000103545,0.00663232,0.00341994
202,0.000353193,7.86864e-05,9.28529e-05,9.93374e-05,0.0143226,0.00624758
203,0.000346715,7.85029e-05,9.33329e-05,9.73732e-05,0.0163172,0.00784528
204,0.000356578,8.09851e-05,9.69945e-05,0.000102835,0.0139876,0.00636778
205,0.000360425,8.18978e-05,9.94779e-05,0.000102538,0.0115933,0.00573851
206,0.000351641,8.07801e-05,9.92382e-05,9.79276e-05,0.010321,0.00532184
207,0.000356766,7.88321e-05,9.72746e-05,9.41648e-05,0.00860578,0.00414323
208,0.000346494,7.77497e-05,9.32142e-05,9.71912e-05,0.01224,0.00495692
209,0.000338008,8.01679e-05,9.18647e-05,0.000108477,0.0236397,0.0128435
210,0.000327876,7.63369e-05,8.85271e-05,0.000117773,0.00708514,0.00665754
211,0.000321694,7.29577e-05,8.37081e-05,0.000105831,0.0122141,0.00697893
212,0.000314287,7.14985e-05,8.38136e-05,9.84407e-05,0.0129799,0.0048375
213,0.000307289,7.69153e-05,8.97199e-05,0.000105195,0.0144266,0.00718975
214,0.000311369,7.78652e-05,9.37371e-05,9.95707e-05,0.00848443,0.00509502
215,0.000315517,7.42021e-05,9.29051e-05,9.57842e-05,0.00828528,0.00485754
216,0.000317467,7.04645e-05,8.91068e-05,8.98379e-05,0.00755565,0.00501187
217,0.000305035,6.8773e-05,8.29789e-05,9.04267e-05,0.0118614,0.0050765
218,0.000309169,6.68929e-05,8.30537e-05,9.56113e-05,0.0162932,0.00565822
219,0.000298353,7.1183e-05,8.35376e-05,0.00011328,0.0208836,0.0097473
220,0.000301174,6.99078e-05,8.10011e-05,0.000120408,0.0200155,0.0104511
221,0.000289247,6.33691e-05,8.17807e-05,0.000106368,0.0148567,0.00875803
222,0.000288055,6.30435e-05,7.99022e-05,9.4216e-05,0.0123647,0.00593469
223,0.000286365,6.6948e-05,7.92146e-05,0.000100971,0.0095242,0.00529809
224,0.000280902,7.05247e-05,8.48177e-05,0.000113617,0.0114978,0.00604961
225,0.000278956,7.1977e-05,8.85239e-05,0.000112495,0.00908416,0.00556944
226,0.000281693,7.19941e-05,8.67055e-05,0.000101075,0.00927975,0.00580011
227,0.00027636,6.86618e-05,8.08218e-05,9.16279e-05,0.0100786,0.00502261
228,0.000267782,6.30495e-05,7.66611e-05,8.39895e-05,0.0130236,0.00858165
229,0.000261851,5.8013e-05,7.36977e-05,8.39739e-05,0.0146868,0.0104413
230,0.000261855,5.67016e-05,7.22562e-05,8.93894e-05,0.0145768,0.00988137
231,0.000243745,5.80451e-05,6.75437e-05,9.59009e-05,0.0104637,0.00673903
232,0.000242016,5.69611e-05,6.42353e-05,9.11373e-05,0.00820027,0.00410416
233,0.000247149,5.44389e-05,6.23023e-05,8.0775e-05,0.00764893,0.00351356
234,0.00024354,5.35972e-05,6.17269e-05,7.77188e-05,0.00709249,0.0032131
235,0.000241924,5.74077e-05,6.4583e-05,8.34567e-05,0.00604772,0.00294158
236,0.000245054,5.96093e-05,6.63753e-05,8.55493e-05,0.00602263,0.00317311
237,0.000247595,5.92883e-05,6.66704e-05,8.2226e-05,0.00556907,0.00291647
238,0.000254291,5.7265e-05,6.4022e-05,7.89353e-05,0.004971,0.00245787
239,0.000257776,5.46277e-05,6.06047e-05,7.52904e-05,0.00523511,0.00264353
240,0.000256647,5.15335e-05,5.71832e-05,7.36607e-05,0.00486365,0.00254174
241,0.000260173,4.95142e-05,5.55657e-05,7.51185e-05,0.0055952,0.00249184
242,0.000246152,4.81901e-05,5.43699e-05,7.6284e-05,0.00500702,0.00253201
243,0.000238014,4.58207e-05,5.25858e-05,7.04297e-05,0.00537848,0.0023102
244,0.000226301,4.40545e-05,4.98832e-05,6.54754e-05,0.00612701,0.00377141
245,0.000219673,4.3498e-05,4.90128e-05,6.99823e-05,0.00787799,0.00479205
246,0.00021017,4.39383e-05,5.05667e-05,7.66464e-05,0.00645496,0.00403887
247,0.000201195,4.353e-05,5.23031e-05,7.47139e-05,0.00625355,0.00390034
248,0.000195491,4.24312e-05,5.07776e-05,6.66326e-05,0.00662278,0.00335145
249,0.000192219,3.99772e-05,4.76733e-05,6.25332e-05,0.00565091,0.00319948
250,0.000190388,4.03157e-05,4.71396e-05,6.53988e-05,0.00736094,0.00313039
251,0.000189349,4.07124e-05,4.61986e-05,6.98965e-05,0.00519892,0.00256547
252,0.000192364,3.98825e-05,4.62352e-05,6.3898e-05,0.00521788,0.00219208
253,0.00019142,3.84177e-05,4.54111e-05,5.72195e-05,0.00553826,0.00222729
254,0.000184873,3.94449e-05,4.37457e-05,5.98331e-05,0.00698273,0.00334054
255,0.000193005,4.23859e-05,4.576e-05,6.65082e-05,0.00731005,0.00339913
256,0.000192191,4.35944e-05,4.66745e-05,6.68877e-05,0.0074604,0.00350291
257,0.000189141,4.36723e-05,4.9197e-05,6.27936e-05,0.00561433,0.00272977
