Iterations,continuity,x-velocity,y-velocity,z-velocity,k,omega
1,0.622663,0.0043918,0.0076943,0.00458725,0.428669,0.251608
2,0.634355,0.00285974,0.00483564,0.00326501,0.180303,0.202582
3,0.71063,0.00232682,0.00457748,0.00254508,0.112619,0.140266
4,0.820795,0.00251519,0.00534905,0.00270629,0.0930932,0.0944165
5,0.930903,0.0028832,0.00634211,0.00317569,0.0837892,0.0761643
6,1.041,0.00305988,0.00700038,0.00322373,0.0604514,0.0481016
7,1.11222,0.0033029,0.00735378,0.00341297,0.0564922,0.0402963
8,1.17061,0.00361884,0.00756466,0.00376125,0.0538391,0.037682
9,1.14162,0.00375409,0.00753373,0.00388738,0.0542313,0.0363835
10,1.10105,0.00386198,0.00752623,0.00397266,0.0513886,0.0369105
11,0.985943,0.00400633,0.00754054,0.00407289,0.0477735,0.0369292
12,0.932379,0.00407855,0.00733136,0.00409703,0.0432824,0.0347902
13,0.82921,0.00400158,0.00688823,0.00402553,0.038632,0.0335885
14,0.761747,0.00396659,0.00662827,0.00400029,0.0355155,0.0365111
15,0.702186,0.00391342,0.00641437,0.00393676,0.0326769,0.0343575
16,0.65582,0.00387849,0.00627327,0.00390643,0.0321126,0.0318881
17,0.607338,0.00384005,0.00615567,0.0038835,0.0269349,0.0350813
18,0.579327,0.00382615,0.00610155,0.00391888,0.0274069,0.035243
19,0.563298,0.00386594,0.00611232,0.00399033,0.0354855,0.0395838
20,0.553816,0.00393968,0.00611562,0.00406317,0.0598242,0.0504233
21,0.540232,0.00400356,0.00605145,0.00411831,0.0485699,0.0385914
22,0.524484,0.0040936,0.00593941,0.00419319,0.0398326,0.0316687
23,0.494191,0.00419584,0.00580526,0.00427494,0.0351029,0.0278735
24,0.459574,0.00430145,0.00571107,0.00437315,0.0356301,0.0276473
25,0.431337,0.00441194,0.00567009,0.00449981,0.0314777,0.0259819
26,0.408975,0.00453432,0.00566774,0.00464565,0.0306612,0.0257059
27,0.378752,0.00463473,0.00564522,0.00477017,0.0309778,0.025513
28,0.352757,0.00469783,0.00563541,0.00489205,0.0308781,0.0255558
29,0.334459,0.00475074,0.00560655,0.00500919,0.0359895,0.0280753
30,0.323585,0.00481799,0.00559518,0.00511858,0.0407602,0.0339136
31,0.314826,0.00490144,0.0056094,0.00523066,0.0381032,0.0289397
32,0.299117,0.00502619,0.00561198,0.00534482,0.0423097,0.0325599
33,0.269108,0.00520892,0.00560391,0.00544372,0.0363251,0.0248075
34,0.236046,0.0054127,0.00561981,0.0055331,0.0359256,0.02153
35,0.208804,0.00557644,0.00567365,0.00561154,0.0295945,0.0200466
36,0.18892,0.00572294,0.00575157,0.00565624,0.0298897,0.0194145
37,0.17454,0.0058389,0.00582301,0.00567938,0.0286752,0.0180996
38,0.159645,0.00589488,0.00583884,0.0056645,0.0303003,0.0168791
39,0.144387,0.00587152,0.00582437,0.00563043,0.0348858,0.0205409
40,0.129265,0.00580546,0.00578298,0.00562982,0.0329908,0.023033
41,0.115206,0.00571622,0.00571541,0.00563075,0.032569,0.0213448
42,0.101889,0.00561488,0.00564309,0.0056057,0.0357063,0.0239659
43,0.0912919,0.00553939,0.00555405,0.00558624,0.0372316,0.024311
44,0.082543,0.00550093,0.005517,0.00557612,0.0395892,0.025882
45,0.0759146,0.0054657,0.00551754,0.00555588,0.0346198,0.0235374
46,0.0696169,0.00542574,0.00552748,0.00557054,0.0365879,0.0210037
47,0.0641895,0.00543843,0.00556127,0.00561641,0.0340739,0.0206039
48,0.0592835,0.00552394,0.00560394,0.00571262,0.0282619,0.0170959
49,0.0549154,0.00559472,0.00565959,0.00574888,0.0291018,0.0170076
50,0.0508458,0.00564129,0.00568832,0.00573213,0.0273944,0.0178235
51,0.047379,0.00566469,0.00568489,0.00571103,0.0294101,0.0187668
52,0.0440431,0.00565298,0.00569742,0.00567326,0.0264152,0.0168685
53,0.0413938,0.00561344,0.00569427,0.00557046,0.0225674,0.0144516
54,0.0388609,0.00556099,0.00569446,0.00552205,0.0242118,0.0153772
55,0.03642,0.00551229,0.00568278,0.00550922,0.0221411,0.013748
56,0.0341273,0.00546176,0.00562186,0.00547855,0.0218122,0.0117605
57,0.0321621,0.00542685,0.00553485,0.00545003,0.0199943,0.0117726
58,0.0300329,0.00537226,0.00544967,0.00541827,0.0180765,0.0112675
59,0.0280041,0.00523444,0.00532824,0.00535467,0.0178862,0.0103626
60,0.0259144,0.00506895,0.00518235,0.00521404,0.0180142,0.00925955
61,0.0239334,0.00487502,0.00502217,0.00503863,0.0187396,0.00961912
62,0.0221192,0.00470129,0.00478322,0.00487576,0.0231346,0.0111744
63,0.020336,0.00452526,0.00454281,0.00473783,0.0201791,0.0101481
64,0.0186268,0.00436156,0.0043546,0.00454703,0.0169427,0.00823887
65,0.0169736,0.00421957,0.00424305,0.00435351,0.0166027,0.00863083
66,0.015563,0.00399878,0.00412955,0.00419869,0.0160736,0.00953119
67,0.0144518,0.00373946,0.00400814,0.00407439,0.0140309,0.00918767
68,0.0135526,0.00349143,0.00389201,0.00389809,0.0146837,0.00858145
