Iterations,continuity,x-velocity,y-velocity,z-velocity,k,omega
1,0.622731,0.00439179,0.0076942,0.00458721,0.4287,0.251619
2,0.634524,0.00285978,0.00483568,0.00326503,0.181012,0.203857
3,0.733797,0.00232401,0.00457394,0.0025401,0.112685,0.140044
4,0.819244,0.00251607,0.00534005,0.00270643,0.0930315,0.0938641
5,0.922791,0.00288083,0.00633524,0.00316887,0.0834601,0.0754962
6,1.04276,0.00305699,0.00699921,0.00322112,0.0603907,0.0479944
7,1.12046,0.00329723,0.00735172,0.00340791,0.0563082,0.0401449
8,1.17133,0.00361698,0.00755859,0.00375803,0.0544172,0.0377536
9,1.11781,0.00375184,0.00752602,0.00388527,0.0551729,0.0364531
10,1.13606,0.00386181,0.00752618,0.00397226,0.0519233,0.0369657
11,0.977811,0.0038825,0.00737888,0.00396524,0.0481146,0.0364532
12,0.925767,0.00405789,0.00732266,0.00406335,0.0439222,0.0351133
13,0.83241,0.00411726,0.00705656,0.0041327,0.0396,0.0361902
14,0.753627,0.00396392,0.00661537,0.00399491,0.0358466,0.0358974
15,0.701977,0.00390885,0.00641404,0.00394185,0.0327899,0.034672
16,0.656296,0.0038742,0.00627216,0.00390598,0.0314631,0.0332635
17,0.608894,0.00383107,0.00615201,0.00387691,0.0266552,0.0337175
18,0.577668,0.00380638,0.00608885,0.00390807,0.0282951,0.0350734
19,0.563207,0.00384883,0.00610289,0.00398145,0.0363725,0.0395058
20,0.550227,0.00391714,0.00610206,0.00405163,0.0545559,0.0457427
21,0.541712,0.00398306,0.00603514,0.00411102,0.0470707,0.0363063
22,0.523988,0.00406977,0.00593118,0.00417552,0.039533,0.0313623
23,0.493581,0.0041728,0.00579767,0.00424196,0.0353274,0.0277672
24,0.458067,0.00427203,0.00569133,0.00433646,0.0352987,0.0274937
25,0.429472,0.00437681,0.00564844,0.00445652,0.0308595,0.0256547
26,0.407915,0.00449303,0.00564928,0.00459556,0.0307663,0.0253971
27,0.378739,0.00459365,0.00562321,0.00473108,0.0309492,0.0249638
28,0.352797,0.00465686,0.00560976,0.00484584,0.0310381,0.0256334
29,0.334646,0.00470815,0.00558184,0.0049676,0.0357847,0.0280116
30,0.323485,0.0047756,0.00557315,0.00508272,0.0389153,0.0324173
31,0.314649,0.00485124,0.0055834,0.00520976,0.0399477,0.0300859
32,0.301065,0.00496291,0.00558589,0.00530315,0.0405335,0.0316371
33,0.270191,0.00511902,0.0055633,0.00539829,0.036397,0.0251204
34,0.235301,0.00530402,0.00556115,0.00549549,0.034626,0.021195
35,0.207072,0.00546475,0.0055834,0.00556103,0.0311963,0.0220032
36,0.18628,0.00559582,0.00564554,0.00559637,0.0298613,0.019323
37,0.171899,0.00570792,0.00571909,0.00561476,0.0300615,0.0189882
38,0.158538,0.00578255,0.00573694,0.00561134,0.0313498,0.0179205
39,0.144449,0.0057749,0.00572695,0.00559413,0.0361998,0.0214102
40,0.130323,0.00572655,0.00570498,0.00559951,0.0334771,0.0225913
41,0.117339,0.00565838,0.00566718,0.0055961,0.0332454,0.0222379
42,0.103831,0.00556314,0.00561596,0.00557185,0.0363277,0.0246513
43,0.0924826,0.0054942,0.00553153,0.00556936,0.0365306,0.0238516
44,0.0832682,0.00546159,0.00547011,0.00554687,0.0395823,0.0253751
45,0.076128,0.00542879,0.00546721,0.00552187,0.0363942,0.0245523
46,0.0698825,0.00538716,0.00547374,0.00552225,0.0366136,0.0210886
47,0.0646403,0.00539057,0.00548966,0.00556041,0.032481,0.020015
48,0.0596061,0.00545372,0.00553804,0.00563551,0.0281851,0.0170344
49,0.0550336,0.00549341,0.0055849,0.00566371,0.0309785,0.0182626
50,0.0509289,0.00552869,0.00558675,0.00563551,0.029539,0.0189598
51,0.0471555,0.00553416,0.00556174,0.00559613,0.0284916,0.0185527
52,0.0438411,0.00551201,0.0055493,0.0055439,0.0254867,0.0163118
53,0.0409546,0.00545965,0.00552738,0.00544754,0.0233234,0.0148445
54,0.0381572,0.00539575,0.00549735,0.00537345,0.0232842,0.0148559
55,0.0354676,0.00533788,0.00543728,0.0053127,0.0206586,0.0125141
56,0.0332027,0.00527058,0.0053515,0.00524179,0.0211286,0.0114501
57,0.0311706,0.00521541,0.00524224,0.00519909,0.0193359,0.0120672
58,0.0290418,0.00507958,0.00511705,0.00515168,0.018846,0.0119552
59,0.0269466,0.00488606,0.00494248,0.00500627,0.019447,0.0107102
60,0.0249186,0.00467755,0.00474394,0.0048049,0.0208893,0.00983408
61,0.0229039,0.00444971,0.00453488,0.00457671,0.0224726,0.011421
62,0.0210038,0.00423479,0.00427412,0.00433019,0.0238023,0.0112735
63,0.0192722,0.00402195,0.00404635,0.00410042,0.0205098,0.0104017
64,0.0177339,0.00381507,0.00386521,0.00385215,0.0176264,0.00899471
65,0.0163057,0.00360546,0.00366601,0.00362736,0.0156396,0.00892431
66,0.0151528,0.00334394,0.00348768,0.00345562,0.0148808,0.00900435
67,0.0142335,0.00306177,0.00332205,0.00326703,0.0149294,0.00819259
68,0.0133955,0.00283153,0.00317305,0.00307195,0.0160982,0.00887678
69,0.0125423,0.00264244,0.0030777,0.00289161,0.0161112,0.00927085
70,0.0116833,0.00249041,0.00297523,0.00274402,0.0164184,0.00963829
71,0.0105524,0.00236571,0.00283215,0.00255009,0.0126024,0.00787032
72,0.00939415,0.0022132,0.00263168,0.00236107,0.0115481,0.00656282
73,0.00846352,0.00205753,0.00247412,0.00220142,0.0120593,0.00649531
74,0.00769702,0.00195111,0.00232283,0.00207248,0.0116242,0.00620878
75,0.00709938,0.00185841,0.00218831,0.00196399,0.0121418,0.00715858
76,0.00667421,0.00175993,0.00204823,0.00186018,0.0124159,0.00779954
77,0.00640966,0.00165658,0.00191866,0.00174651,0.013534,0.00872988
78,0.00616744,0.00156396,0.00182489,0.00164743,0.0145982,0.0096249
79,0.00590677,0.00150503,0.00175997,0.0016136,0.0173553,0.0113457
80,0.00562256,0.00147388,0.00169781,0.00159951,0.0212173,0.0132479
81,0.0052771,0.00144347,0.0016266,0.00157191,0.0183627,0.0118177
82,0.00495189,0.0013996,0.00155,0.00153814,0.0159766,0.00838968
83,0.00467855,0.00133353,0.00146908,0.0014693,0.0126085,0.00780026
84,0.00449879,0.0012687,0.00138897,0.00140599,0.0128493,0.00833022
85,0.00433931,0.00119787,0.00130884,0.00134564,0.0130351,0.00819818
86,0.00419375,0.00113094,0.00122332,0.00128709,0.0121149,0.00699
87,0.00401186,0.00108171,0.00115736,0.00120395,0.0110056,0.00646152
88,0.00386552,0.00104235,0.00111845,0.00114009,0.0118058,0.00749599
89,0.00370068,0.00101243,0.00109898,0.0010919,0.0134346,0.00873731
90,0.00355607,0.000990217,0.00106147,0.0010579,0.0141239,0.00861911
91,0.00339265,0.000958961,0.00101759,0.00103767,0.010196,0.00588899
92,0.00322928,0.00093623,0.000977286,0.00102657,0.0141711,0.00795336
93,0.00306262,0.000928249,0.000960454,0.000985376,0.0154409,0.00966082
94,0.00289836,0.000907981,0.00093009,0.000968319,0.0138144,0.00770465
95,0.00271559,0.000877893,0.000917731,0.000947863,0.0182879,0.0102234
96,0.00252606,0.000831161,0.000914729,0.000915983,0.0213723,0.0127552
97,0.00236742,0.000810777,0.000895563,0.000933473,0.0246279,0.0132889
98,0.00221257,0.000776366,0.000872184,0.000949253,0.0235579,0.0135788
99,0.00204264,0.000743473,0.000878523,0.000971863,0.0178146,0.0105475
100,0.00189057,0.000729666,0.000897508,0.000949684,0.0171337,0.0110084
101,0.00175921,0.000720147,0.000889903,0.000903167,0.0201071,0.0118139
102,0.00165503,0.000739544,0.000867724,0.000863005,0.021597,0.0125322
103,0.0015762,0.000727358,0.000842424,0.000842624,0.0232828,0.0119198
104,0.00151616,0.000721852,0.000819488,0.00081765,0.0185543,0.0121411
105,0.00145574,0.000671702,0.000775871,0.000751649,0.0208719,0.012635
106,0.00141537,0.000651026,0.000740842,0.000734522,0.0119141,0.00803037
107,0.00139092,0.000644267,0.00073356,0.000776906,0.0138882,0.00807412
108,0.00138026,0.000631116,0.00073969,0.000784356,0.0120198,0.00742401
109,0.00138355,0.000620206,0.00073142,0.000773029,0.0127255,0.00764725
110,0.00140882,0.000607283,0.000719979,0.000769239,0.0133065,0.00792435
111,0.00142933,0.000587179,0.000700658,0.000746449,0.0130626,0.00811481
112,0.00145525,0.000564769,0.00068193,0.00072477,0.0116103,0.00690093
113,0.00147224,0.000557596,0.000677674,0.000703815,0.00996049,0.00594012
114,0.00147388,0.000545261,0.000672563,0.000688957,0.00898854,0.00535801
115,0.00147894,0.00052909,0.000654781,0.000662056,0.00773614,0.00477771
116,0.00148111,0.000509886,0.000628725,0.000650191,0.0070944,0.00406805
117,0.00148639,0.000495426,0.0006027,0.000633856,0.00754364,0.00444301
118,0.00148945,0.000486706,0.000588956,0.000610813,0.00845969,0.00516483
119,0.00149072,0.000475957,0.000573633,0.000593072,0.00918292,0.00519844
120,0.00148889,0.00046298,0.000554987,0.000580376,0.00969896,0.00565747
121,0.00148374,0.000452138,0.00054041,0.000581203,0.00910632,0.00490011
122,0.00147503,0.000445813,0.000530249,0.000583128,0.00694345,0.00440499
123,0.00146165,0.000443006,0.000530119,0.000575225,0.00692477,0.00442899
124,0.00144769,0.000432877,0.000516354,0.000555683,0.0070819,0.00435791
125,0.0014158,0.000417619,0.000501069,0.000543017,0.00714461,0.00454187
126,0.00142071,0.000403438,0.000486634,0.000515535,0.00759362,0.00434523
127,0.00142158,0.000391079,0.00047213,0.000491999,0.00678791,0.00354859
128,0.00143433,0.000380933,0.000459155,0.000478165,0.00752944,0.00391271
129,0.00143748,0.000370846,0.000451503,0.000466151,0.00820966,0.00438144
130,0.00145096,0.000353755,0.000446196,0.000463189,0.00693182,0.00402304
131,0.00145516,0.000343895,0.0004402,0.000460412,0.00707751,0.00407395
132,0.00145165,0.00033979,0.0004324,0.000454228,0.00734934,0.00401606
133,0.00143314,0.000341931,0.00043026,0.000451712,0.00695587,0.00372507
134,0.00140404,0.000336015,0.000418449,0.000440474,0.00703858,0.00444276
135,0.00136163,0.000321433,0.000397083,0.000421878,0.00654169,0.00400161
136,0.00129528,0.000308928,0.000376243,0.000400259,0.0065175,0.00353814
137,0.00121369,0.000298821,0.000357252,0.000380258,0.00684516,0.00361523
138,0.00111936,0.000288328,0.00033909,0.000366947,0.00658646,0.00362589
139,0.00102255,0.000277779,0.00032369,0.000355557,0.00609604,0.00376915
140,0.000944424,0.000273976,0.000317422,0.00035367,0.00689814,0.00440244
141,0.000874472,0.000278644,0.000313898,0.000364169,0.0085379,0.00487936
