[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 9526
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1047.19755 [s^-1 rad]
Frequency          = 401.532061 [Hz]
Nodal Diameter     = 0

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
-5.13577717E-003,  1.64920049E-001,  1.04099723E-002,  7.33646906E+001, -6.80928430E+001
-5.13627018E-003,  1.64930024E-001,  1.04108171E-002,  7.33607648E+001, -6.80883138E+001
-5.13690233E-003,  1.64942808E-001,  1.04118995E-002,  7.33736439E+001, -6.80684414E+001
-5.13771254E-003,  1.64959191E-001,  1.04132868E-002,  7.34149389E+001, -6.80296592E+001
-5.13875099E-003,  1.64980187E-001,  1.04150648E-002,  7.34463320E+001, -6.80008988E+001
-5.14008202E-003,  1.65007094E-001,  1.04173434E-002,  7.36077625E+001, -6.79114851E+001
-5.14178813E-003,  1.65041578E-001,  1.04202638E-002,  7.37832196E+001, -6.78508708E+001
-5.14397513E-003,  1.65085771E-001,  1.04240068E-002,  7.39307444E+001, -6.78390713E+001
-5.14677874E-003,  1.65142407E-001,  1.04288042E-002,  7.40583273E+001, -6.78513306E+001
-5.15037314E-003,  1.65214990E-001,  1.04349531E-002,  7.42081010E+001, -6.78523677E+001
-5.15498185E-003,  1.65308009E-001,  1.04428346E-002,  7.43986617E+001, -6.78087249E+001
-5.16089192E-003,  1.65427218E-001,  1.04529373E-002,  7.46860555E+001, -6.77037483E+001
-5.16845696E-003,  1.65579999E-001,  1.04658707E-002,  7.52057527E+001, -6.75148082E+001
-5.17807782E-003,  1.65775817E-001,  1.04823572E-002,  7.58958810E+001, -6.72057048E+001
-5.19028005E-003,  1.66026797E-001,  1.05033348E-002,  7.71201148E+001, -6.69221487E+001
-5.20570756E-003,  1.66348487E-001,  1.05299714E-002,  7.88768075E+001, -6.65116408E+001
-5.22513142E-003,  1.66760823E-001,  1.05637026E-002,  7.91383783E+001, -6.67557775E+001
-5.24945006E-003,  1.67289368E-001,  1.06062674E-002,  7.86886885E+001, -6.75578561E+001
-5.27966633E-003,  1.67966905E-001,  1.06597314E-002,  7.83201257E+001, -6.82674744E+001
-5.31682021E-003,  1.68835478E-001,  1.07264762E-002,  7.84782787E+001, -6.89057483E+001
-5.36184180E-003,  1.69949006E-001,  1.08091264E-002,  7.96136212E+001, -6.95570712E+001
-5.41526949E-003,  1.71376633E-001,  1.09103596E-002,  8.20526439E+001, -6.96533642E+001
-5.47675443E-003,  1.73206995E-001,  1.10325208E-002,  8.61813552E+001, -6.93981378E+001
-5.54426125E-003,  1.75553630E-001,  1.11769226E-002,  9.29921966E+001, -6.96743334E+001
-5.60744167E-003,  1.78562616E-001,  1.13477617E-002,  1.03072549E+002, -6.71508416E+001
-5.56260043E-003,  1.82416134E-001,  1.16264930E-002,  1.19540185E+002, -5.92675516E+001
-5.46312155E-003,  1.87358596E-001,  1.19382935E-002,  1.33469614E+002, -5.93677079E+001
-5.27267200E-003,  1.93716219E-001,  1.23202279E-002,  1.59252923E+002, -9.22311594E+000
-5.05334681E-003,  2.00069043E-001,  1.27907214E-002,  2.09330514E+002,  7.57750020E+001
-4.78917609E-003,  2.06425218E-001,  1.32142052E-002,  2.78849725E+002,  7.22047099E+001
-4.48487972E-003,  2.12780620E-001,  1.36151607E-002,  4.00786144E+002,  6.42055236E+001
-4.16961456E-003,  2.19136045E-001,  1.39987662E-002,  5.95994277E+002,  2.10944900E+002
-3.83048617E-003,  2.25490493E-001,  1.42809060E-002,  8.94772145E+002,  3.02708932E+002
-3.49023281E-003,  2.31842595E-001,  1.45610411E-002,  1.09729844E+003,  2.05626552E+002
-3.22874453E-003,  2.38195770E-001,  1.48029583E-002,  1.12639715E+003,  2.44976455E+001
-3.01570318E-003,  2.43654925E-001,  1.50167457E-002,  9.30581901E+002, -1.62815076E+002
-2.86169519E-003,  2.48314255E-001,  1.51842245E-002,  5.34093442E+002, -2.01938825E+002
-2.74139417E-003,  2.52277606E-001,  1.52988030E-002,  1.93512624E+002, -2.01069295E+002
-2.64208766E-003,  2.55636462E-001,  1.54001458E-002, -2.65598749E+001, -2.51415894E+002
-2.55995883E-003,  2.58476491E-001,  1.54889786E-002, -1.85178164E+002, -3.55021643E+002
-2.52060640E-003,  2.60872934E-001,  1.55498791E-002, -3.16274916E+002, -4.41225083E+002
-2.50187763E-003,  2.62889764E-001,  1.55955618E-002, -4.13955326E+002, -4.50737958E+002
-2.48701597E-003,  2.64583264E-001,  1.56353985E-002, -4.51668516E+002, -4.44459192E+002
-2.47515765E-003,  2.66003157E-001,  1.56698599E-002, -4.52913564E+002, -4.17632266E+002
-2.46565219E-003,  2.67191695E-001,  1.56994646E-002, -4.16329957E+002, -3.80350835E+002
-2.45800147E-003,  2.68185099E-001,  1.57247484E-002, -3.37247414E+002, -3.00999462E+002
-2.45182111E-003,  2.69014284E-001,  1.57462348E-002, -2.13760963E+002, -2.52702433E+002
-2.44681249E-003,  2.69705524E-001,  1.57644163E-002, -6.24220477E+001, -1.69720050E+002
-2.44274194E-003,  2.70281113E-001,  1.57797453E-002,  1.56973317E+001, -1.45693796E+002
-2.43942566E-003,  2.70759892E-001,  1.57926286E-002,  1.42868006E+002, -1.31323695E+002
-2.43671816E-003,  2.71157758E-001,  1.58034270E-002,  2.13549575E+002, -1.01722854E+002
-2.43450374E-003,  2.71488088E-001,  1.58124568E-002,  2.06816691E+002, -1.24676371E+002
-2.43268994E-003,  2.71762109E-001,  1.58199918E-002,  1.80434337E+002, -1.53931687E+002
