Ref Des,Manufacturer,Part Number,Part Type,Part Description,Activation Energy (Ea),Applied Current (A),Applied Duty Cycle (%),Applied Freq (MHz),Applied Power (W),Applied Ripple (mA),Applied Voltage (V),Ball Chan Width,Ball Count,Ball Diameter,Ball Height,Ball Island Cols,Ball Island Rows,Ball Material,Ball Modeling,Ball Package Diameter,Ball Pad Diameter,Ball Pattern,Ball Perimeter Cols,Ball Perimeter Rows,Ball Pitch,Ball Units,Board Side,Capacitance (uF),Confidence Bounds (%),Corner Face,Corner Radius,Corner Shape,Die Length,Die Material,Die Thickness,Die Units,Die Width,Documents,Failure Class,Failure Mechanism,Flag Length,Flag Thickness,Flag Units,Flag Width,Frequency Exponent,Input Data Type,Laminate Thickness,Lead Bend (degrees),Lead Bend Package Radius,Lead Bend Radius,Lead Count,Lead Foot Length,Lead Frame Percentage,Lead Geometry,Lead Height,Lead Hole Diameter,Lead Layout,Lead Long Count,Lead Material,Lead Pitch,Lead Short Count,Lead Shoulder,Lead Standoff,Lead Stiffness,Lead Thickness,Lead Units,Lead Width,Lifetime,Location Units,Material,Max Rated Current (A),Max Rated Power (W),Max Rated Temp (C),Max Rated Voltage (V),Max Storage Temp (C),Min Rated Temp (C),Min Storage Temp (C),Mirrored,Model Leads,Model Part,Notes,Number of Devices,Number of Failures,Overmold Material,Overmold Thickness,Package Length,Package Mount,Package Name,Package Thickness,Package Type,Package Units,Package Width,Pad Length,Pad Pitch,Pad Units,Pad Width,Part Technology,Part Temp Rise,Process Node,Rated Ripple (mA),Reliability Data Source,Reliability Metric,Reliability Metric Units,Resistance (ohm),Ripple Temp Rise,Rjb (C/W),Rjc (C/W),Rotation,Sink Length,Sink Thickness,Sink Width,Solder Material,Solder Model,Solder Thickness,Source of AF,Stencil Thickness,Stencil Units,Subcircuit Name(s),Test Duration (hrs),Test Duty Cycle (%),Test Frequency (MHz),Test Method,Test Temperature (C),Test Voltage (V),Thermal Units,Voltage Exponent,Weight (gram),X Coordinate,X Offset,Y Coordinate,Y Offset
C1,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,-2.7,0,-1.65,0
C2,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,-2.4,0,-1.65,0
C3,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,180,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,-2.4,0,-1.9,0
C4,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,180,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,-2.7,0,-1.9,0
C5,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,180,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,-3.0,0,-1.9,0
C6,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,2.35,0,1.65,0
C7,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,2.65,0,1.65,0
C8,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,180,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,2.95,0,1.9,0
C9,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,180,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,2.65,0,1.9,0
C10,,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B RoHS 3528",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,0.0,,,2,0.6,,THRUHOLE,0.631,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,531.29,0.15,mm,1.4,,in,BARIUMTITANATE,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.23,SMT,ADS_SM_CT_3528,0.062000,CC,in,0.13,1.17,1.27,mm,3.30,,DEFAULT,,,,,,,,,,180,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.829e-1,2.35,0,1.9,0
C11,,1210GC102KAT1A,CAPACITOR,"CAP,CER,1NF,10%,2KV,X7R,1210 RoHS",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,-0.98,0,-1.962,0
C12,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,0.481,0,-1.961,0
C13,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,0.91,0,-1.963,0
C14,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,-0.513,0,-1.96,0
C15,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,-0.023,0,-1.962,0
C16,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,-1.044,0,1.959,0
C17,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,-0.001,0,1.959,0
C18,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,0.994,0,1.955,0
C19,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,-0.478,0,1.963,0
C20,,ECJ-4YB2A684,CAPACITOR,"CAP, 0.68uF, 100C, 20%, SMT, 1210",,,,,,,,,,,,,,,DISABLED,,,,,,,,TOP,,,TOP_BOTTOM,0,SQUARE,,,,,,,"CAP, FIXED, PLASTIC",,,,,,,,,,,,2,,,LEADLESS,,,,,,,,,,,,,,,in,ALUMINA,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,3.2,SMT,1210,0.6,CC,mm,2.5,0.64,3.20,mm,2.50,,DEFAULT,,,,,,,,,,0,,,,DEFAULT,CC MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,1.752e-2,0.507,0,1.959,0
C21,,EEU-FC1J181,CAPACITOR,"Cap, 180uF, 63V, Elec FC, Radial lead",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,5.1206,SILICON,0.185,mm,5.1206,,"CAP, FIXED, PLASTIC",,,,in,,,,,0.0,,,2,0.6,,THRUHOLE,0.915,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,174.24,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.4032,TH,ADS_CPCYL1_D400_LS200_034,0.630000,OTHER,in,0.4032,,,in,,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,3.021e+0,1.115,0,-1.45,0
C22,,EEU-FC1J181,CAPACITOR,"Cap, 180uF, 63V, Elec FC, Radial lead",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,5.1206,SILICON,0.185,mm,5.1206,,"CAP, FIXED, PLASTIC",,,,in,,,,,0.0,,,2,0.6,,THRUHOLE,0.915,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,174.24,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.4032,TH,ADS_CPCYL1_D400_LS200_034,0.630000,OTHER,in,0.4032,,,in,,,DEFAULT,,,,,,,,,,270,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,3.021e+0,2.843,0,-1.4689999999999999,0
C23,,EEU-FC1J181,CAPACITOR,"Cap, 180uF, 63V, Elec FC, Radial lead",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,5.1206,SILICON,0.185,mm,5.1206,,"CAP, FIXED, PLASTIC",,,,in,,,,,0.0,,,2,0.6,,THRUHOLE,0.915,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,174.24,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.4032,TH,ADS_CPCYL1_D400_LS200_034,0.630000,OTHER,in,0.4032,,,in,,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,3.021e+0,-1.2169999999999999,0,1.455,0
C24,,EEU-FC1J181,CAPACITOR,"Cap, 180uF, 63V, Elec FC, Radial lead",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,5.1206,SILICON,0.185,mm,5.1206,,"CAP, FIXED, PLASTIC",,,,in,,,,,0.0,,,2,0.6,,THRUHOLE,0.915,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,174.24,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.4032,TH,ADS_CPCYL1_D400_LS200_034,0.630000,OTHER,in,0.4032,,,in,,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,3.021e+0,-1.2879999999999998,0,-1.443,0
C25,,EEU-FC1J181,CAPACITOR,"Cap, 180uF, 63V, Elec FC, Radial lead",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,5.1206,SILICON,0.185,mm,5.1206,,"CAP, FIXED, PLASTIC",,,,in,,,,,0.0,,,2,0.6,,THRUHOLE,0.915,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,174.24,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.4032,TH,ADS_CPCYL1_D400_LS200_034,0.630000,OTHER,in,0.4032,,,in,,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,3.021e+0,1.11,0,1.434,0
C26,,EEV0TA1H470P,CAPACITOR,"Cap,  47uF, 50V,  ALUM, ELEC RADIAL, SM SIZE G",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,6.1074,SILICON,0.185,mm,5.2499,,"CAP, FIXED, PLASTIC",,,,in,,,,,0.0,,,2,0.6,,THRUHOLE,0.8008,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,259.93,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.4809,SMT,ADS_SM_CT_BULKCAP-G,0.401570,OTHER,in,0.41338,,,in,,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,2.355e+0,-1.806,0,-1.462,0
C27,,EEV0TA1H470P,CAPACITOR,"Cap,  47uF, 50V,  ALUM, ELEC RADIAL, SM SIZE G",,,,,,,,,,,,,,,DISABLED,,,,,,,in,TOP,,,TOP_BOTTOM,0,SQUARE,6.1074,SILICON,0.185,mm,5.2499,,"CAP, FIXED, PLASTIC",,,,in,,,,,0.0,,,2,0.6,,THRUHOLE,0.8008,1.608,SIP,0,COPPER,2.54,0,1.4,0.6,259.93,0.15,mm,1.4,,in,EPOXYENCAPSULANT,,,70.0,,,0.0,,N,DISABLED,ENABLED,,0,0,,,0.4809,SMT,ADS_SM_CT_BULKCAP-G,0.401570,OTHER,in,0.41338,,,in,,,DEFAULT,,,,,,,,,,0,0,0,0,DEFAULT,THRUHOLE MODEL,0.0635,,,MM,,0,,,BLACK BOX,,,C,,2.355e+0,1.688,0,-1.468,0
