Ref Des,Manufacturer,Part Number,Part Type,Part Description,Activation Energy (Ea),Applied Current (A),Applied Duty Cycle (%),Applied Freq (MHz),Applied Power (W),Applied Ripple (mA),Applied Voltage (V),Ball Chan Width,Ball Count,Ball Diameter,Ball Height,Ball Island Cols,Ball Island Rows,Ball Material,Ball Modeling,Ball Package Diameter,Ball Pad Diameter,Ball Pattern,Ball Perimeter Cols,Ball Perimeter Rows,Ball Pitch,Ball Units,Board Side,Capacitance (uF),Confidence Bounds (%),Corner Face,Corner Radius,Corner Shape,Cycle Rate (cycle/hr),Die Length,Die Material,Die Thickness,Die Units,Die Width,Documents,ESD Susceptibility (V),Electrical Derating (0-1),FITs (per 1E6 hours),Failure Class,Failure Mechanism,Flag Length,Flag Thickness,Flag Units,Flag Width,Frequency Exponent,Initial Burn-in (hrs),Input Data Type,Junction Res (C/W),Laminate Thickness,Lead Bend (degrees),Lead Count,Lead Foot Length,Lead Geometry,Lead Height,Lead Hole Diameter,Lead Layout,Lead Long Count,Lead Material,Lead Pitch,Lead Short Count,Lead Shoulder,Lead Standoff,Lead Stiffness,Lead Thickness,Lead Units,Lead Width,Lifetime,Load Type,Location Units,Material,Max Rated Current (A),Max Rated Power (W),Max Rated Temp (C),Max Rated Voltage (V),Max Storage Temp (C),Min Rated Temp (C),Min Storage Temp (C),Mirrored,Model Leads,Model Part,Number of Bits,Number of Contacts,Number of Devices,Number of Elements,Number of Failures,Number of Gates,Number of Throws,Number of Trans,Overmold Material,Overmold Thickness,Package Length,Package Mount,Package Name,Package Thickness,Package Units,Package Width,Pad Length,Pad Pitch,Pad Units,Pad Width,Part Technology,Part Temp Rise,Process Node,Production Year,Production Years,Quality Class,Quality Factor,Rated Ripple (mA),Reliability Data Source,Reliability Metric,Reliability Metric Units,Resistance (ohm),Ripple Temp Rise,Rotation,Seal Type,Sink Length,Sink Thickness,Sink Width,Solder Material,Solder Model,Solder Thickness,Source of AF,Stencil Thickness,Stencil Units,Subcircuit Name(s),Technology,Test Duration (hrs),Test Duty Cycle (%),Test Frequency (MHz),Test Method,Test Temperature (C),Test Voltage (V),Thermal Units,Voltage Exponent,Weight (gram),X Coordinate,X Offset,Y Coordinate,Y Offset
C1,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"Test Description",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,DUAL_SHORT,,COPPER,2.5,,0.4,0.15,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,0,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,-2.7,0,-1.65,0
C2,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,0,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,-2.4,0,-1.65,0
C3,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,180,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,-2.4,0,-1.9,0
C4,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,180,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,-2.7,0,-1.9,0
C5,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,180,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,-3.0,0,-1.9,0
C6,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,0,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,2.35,0,1.65,0
C7,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,0,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,2.65,0,1.65,0
C8,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,180,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,2.95,0,1.9,0
C9,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,180,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,2.65,0,1.9,0
C10,AVX / KYOCERA,TMC1CBTTE106M,CAPACITOR,"CAP,TANT,10U,20%,16V,B ROHS 3528",,,,0,,,,,,,,,,63SN37PB,NONE,,,,,,,MM,TOP,1,,TOP_BOTTOM,0,SQUARE,,0.0000,SILICON,0.1850,MM,0.0000,,500,0.1,0,"CAP, FIXED, CERAMIC, CHIP",,,,MM,,,0,,1.500E+1,0.965,0.0,2,0.8,C_LEAD,0.5,2.4038375620721237,SINGLE,,COPPER,1,,.2,.2,9.67,0.13,MM,2.2,,,in,TANTALUM,0,0.1,70,16,85,0.0,-55,N,ENABLED,ENABLED,,,0,1,0,,,,,0.435,3.24,SMT,C-BEND-3528-12,1.15,MM,2.8,2.0,1.27,MM,0.75,,DEFAULT,,2011,2,INSPECTED,,,,,,0,,180,NONHERMETIC,1,0.13,3.24,TIN-LEAD (63SN37PB),LEADED MODEL,0.0635,,0.127,mm,,TTL,0,,,BLACK BOX,,,C,,1.742E-1,2.35,0,1.9,0
