[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 23585
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1679.99817 [s^-1 rad]
Frequency          = 534.760010 [Hz]
Engine Order       = 2

[Spatial Fields]
x, y, z

[Data]
x [ m ], y [ m ], z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
 2.31812200E-04,  9.56785830E-02, -5.05504780E-04,  9.61462250E+01, -7.21397340E+02
 2.31709100E-04,  9.56853400E-02, -5.04941620E-04,  8.71866300E+01, -7.15706910E+02
 2.31545240E-04,  9.56960540E-02, -5.04048020E-04,  6.63430330E+01, -7.19899480E+02
 2.31285260E-04,  9.57130490E-02, -5.02631130E-04,  1.82093810E+00, -7.03996580E+02
 2.30872600E-04,  9.57399980E-02, -5.00384490E-04,  1.17254790E+01, -6.80393190E+02
 2.30217220E-04,  9.57827270E-02, -4.96822530E-04,  2.18100310E+02, -5.25517520E+02
 2.29175520E-04,  9.58504750E-02, -4.91175450E-04,  7.36799930E+01, -5.04266480E+02
 2.27517510E-04,  9.59579200E-02, -4.82224020E-04, -2.02414860E+02, -4.17259550E+02
 2.24875020E-04,  9.61282850E-02, -4.68037350E-04, -5.43555790E+02, -2.83339750E+02
 2.20646460E-04,  9.63984280E-02, -4.45559590E-04, -6.05329220E+02, -7.11077190E+01
 2.13789360E-04,  9.68267840E-02, -4.09841360E-04, -4.90448240E+02,  1.55334340E+02
 2.01312740E-04,  9.75057710E-02, -3.50524210E-04, -4.50427000E+02,  3.58983460E+02
 1.79654150E-04,  9.85821340E-02, -2.53854170E-04, -4.69574710E+02,  3.66634610E+02
 1.30102900E-04,  1.00687460E-01, -5.31660410E-05, -4.52154970E+02,  2.98237150E+02
 7.22860860E-05,  1.02791090E-01,  1.62503160E-04, -4.26414310E+02,  2.21963460E+02
 8.09358790E-06,  1.04893070E-01,  3.92053920E-04, -3.62223820E+02,  1.58532700E+02
-5.85848540E-05,  1.06993960E-01,  6.30789670E-04, -3.03205570E+02,  8.73903730E+01
-1.25857240E-04,  1.09102880E-01,  8.85205870E-04, -2.62842160E+02,  5.82965010E+01
-1.93187440E-04,  1.11210550E-01,  1.15575520E-03, -2.57392030E+02,  9.13053210E+01
-2.60359750E-04,  1.13316760E-01,  1.43759160E-03, -2.57929930E+02,  1.22476910E+02
-3.26450680E-04,  1.15421350E-01,  1.73142650E-03, -2.62561740E+02,  1.61530560E+02
-3.89597500E-04,  1.17524480E-01,  2.03620290E-03, -2.78691350E+02,  2.08317860E+02
-4.48362260E-04,  1.19625290E-01,  2.35158650E-03, -3.09194760E+02,  2.49893920E+02
-5.03305460E-04,  1.21724220E-01,  2.67453860E-03, -2.90147740E+02,  2.42336210E+02
-5.54974660E-04,  1.23821920E-01,  3.00576510E-03, -2.45227430E+02,  2.12210540E+02
-6.05002100E-04,  1.25918460E-01,  3.34457910E-03, -2.02390050E+02,  1.74044660E+02
-6.54940200E-04,  1.28014460E-01,  3.68675220E-03, -1.39167530E+02,  1.03277440E+02
-7.08205160E-04,  1.30108640E-01,  4.03195850E-03, -1.09662890E+02,  2.24621630E+00
-7.69545850E-04,  1.32188010E-01,  4.38055490E-03, -1.22148380E+02, -9.75713270E+01
-8.40648600E-04,  1.34265990E-01,  4.73548150E-03, -1.34463840E+02, -1.34954030E+02
-9.23435200E-04,  1.36343780E-01,  5.08895000E-03, -1.47948100E+02, -1.85591200E+02
-1.02163930E-03,  1.38421330E-01,  5.43988540E-03, -1.63169820E+02, -2.47079350E+02
-1.13744380E-03,  1.40498730E-01,  5.78635610E-03, -1.73421450E+02, -3.06791470E+02
-1.27359440E-03,  1.42557980E-01,  6.12703060E-03, -1.82900070E+02, -3.17118350E+02
-1.42981550E-03,  1.44606080E-01,  6.45907220E-03, -1.89507160E+02, -2.86152100E+02
-1.60480790E-03,  1.46654580E-01,  6.77912120E-03, -2.09197450E+02, -2.93860810E+02
-1.79383090E-03,  1.48703170E-01,  7.09046330E-03, -2.40332460E+02, -3.10719150E+02
-1.99211640E-03,  1.50751650E-01,  7.39682650E-03, -2.80794980E+02, -3.18711150E+02
-2.19419440E-03,  1.52798220E-01,  7.69985930E-03, -3.23246670E+02, -3.20848180E+02
-2.39342470E-03,  1.54821040E-01,  7.99899920E-03, -3.55047150E+02, -3.11078740E+02
-2.58787910E-03,  1.56843950E-01,  8.30065180E-03, -3.90036710E+02, -2.86575320E+02
-2.77096920E-03,  1.58867420E-01,  8.60557890E-03, -4.15137880E+02, -2.47968730E+02
-2.93921680E-03,  1.60891530E-01,  8.91476400E-03, -4.56676790E+02, -2.17398510E+02
-3.09063980E-03,  1.62915990E-01,  9.23030360E-03, -5.33883300E+02, -2.25402020E+02
-3.22102030E-03,  1.64933670E-01,  9.55148880E-03, -5.74305600E+02, -2.08258450E+02
-3.32862070E-03,  1.66943030E-01,  9.87999510E-03, -5.95782780E+02, -1.40503750E+02
-3.41156590E-03,  1.68951960E-01,  1.02181370E-02, -6.18394900E+02, -6.28032910E+01
-3.46401780E-03,  1.70960660E-01,  1.05636430E-02, -6.29329590E+02,  1.15890170E+01
-3.48801930E-03,  1.72969030E-01,  1.09142060E-02, -6.46606750E+02,  5.72818870E+01
-3.48818630E-03,  1.74977210E-01,  1.12667210E-02, -7.01373170E+02,  1.04797730E+02
-3.47053100E-03,  1.76965490E-01,  1.16158080E-02, -7.64427250E+02,  1.74315370E+02
-3.43832720E-03,  1.78949670E-01,  1.19602320E-02, -8.45652470E+02,  2.38460240E+02
-3.39601750E-03,  1.80934730E-01,  1.22985120E-02, -8.74849850E+02,  3.08209930E+02
-3.34683360E-03,  1.82921080E-01,  1.26280690E-02, -8.97190610E+02,  3.43712400E+02
-3.29353640E-03,  1.84908640E-01,  1.29496980E-02, -8.83579470E+02,  3.93730290E+02
-3.23408190E-03,  1.86894890E-01,  1.32624060E-02, -8.30128420E+02,  4.28225800E+02
-3.17153080E-03,  1.88856420E-01,  1.35656100E-02, -7.68388920E+02,  4.64507480E+02
-3.10521970E-03,  1.90818520E-01,  1.38643510E-02, -7.01739010E+02,  4.82987550E+02
-3.03516580E-03,  1.92781020E-01,  1.41595610E-02, -6.50716190E+02,  4.86346920E+02
-2.96124230E-03,  1.94743770E-01,  1.44520970E-02, -6.05296080E+02,  4.94660000E+02
-2.88271790E-03,  1.96706560E-01,  1.47431450E-02, -5.47518070E+02,  4.76582340E+02
-2.79827630E-03,  1.98665620E-01,  1.50339400E-02, -5.25843380E+02,  4.22181820E+02
-2.70699080E-03,  2.00615260E-01,  1.53257200E-02, -5.07197570E+02,  3.10014890E+02
-2.60668550E-03,  2.02563880E-01,  1.56214840E-02, -5.33115970E+02,  2.24003800E+02
-2.49572380E-03,  2.04511030E-01,  1.59230270E-02, -4.98684080E+02,  1.58067990E+02
-2.37200760E-03,  2.06456270E-01,  1.62318160E-02, -4.84436490E+02,  6.53897550E+01
-2.23566640E-03,  2.08399280E-01,  1.65493190E-02, -4.76144740E+02,  3.34975890E+01
-2.08657120E-03,  2.10337880E-01,  1.68734270E-02, -4.59416020E+02,  2.53160210E+01
-1.92745800E-03,  2.12271750E-01,  1.72030200E-02, -4.13255280E+02,  1.11524730E+01
-1.75685920E-03,  2.14204100E-01,  1.75359400E-02, -4.12607760E+02,  6.00082440E+01
-1.57534770E-03,  2.16135170E-01,  1.78704210E-02, -4.11220400E+02,  1.16193840E+02
-1.38347420E-03,  2.18065280E-01,  1.82047520E-02, -3.86795290E+02,  6.70915910E+01
-1.18199980E-03,  2.19994680E-01,  1.85374450E-02, -4.19776430E+02,  1.02600520E+02
-9.73878540E-04,  2.21914380E-01,  1.88660120E-02, -4.21523070E+02,  1.50633220E+02
-7.61505100E-04,  2.23827470E-01,  1.91905140E-02, -3.72017700E+02,  1.68443100E+02
-5.46714870E-04,  2.25740850E-01,  1.95116850E-02, -3.55649660E+02,  1.38769960E+02
-3.32031110E-04,  2.27654860E-01,  1.98291280E-02, -2.70039890E+02,  1.03125700E+02
-1.20099100E-04,  2.29569870E-01,  2.01424620E-02, -1.18103500E+02,  4.05979540E+01
 8.67663770E-05,  2.31486140E-01,  2.04513450E-02,  1.75692140E+01,  1.49668340E+01
 2.84480750E-04,  2.33388130E-01,  2.07535070E-02,  7.48380740E+01,  2.98315830E+01
 4.73537950E-04,  2.35284180E-01,  2.10504640E-02,  1.46779910E+02,  8.47788090E+01
 6.60765680E-04,  2.37181110E-01,  2.13429610E-02,  3.01870940E+02,  1.60213810E+02
 8.39483690E-04,  2.39079210E-01,  2.16332490E-02,  3.94775270E+02,  2.57090820E+02
 1.00782420E-03,  2.40978430E-01,  2.19222660E-02,  3.47129730E+02,  3.39592930E+02
 1.16318070E-03,  2.42878870E-01,  2.22106610E-02,  2.84710270E+02,  4.64936680E+02
 1.30451720E-03,  2.44770300E-01,  2.24940500E-02,  1.92720570E+02,  5.17835630E+02
 1.42970770E-03,  2.46658520E-01,  2.27759850E-02,  9.71669010E+00,  5.05221800E+02
 1.53972940E-03,  2.48547610E-01,  2.30584050E-02, -3.13913390E+02,  3.76395900E+02
 1.63497460E-03,  2.50437320E-01,  2.33421610E-02, -7.72350890E+02,  1.06474670E+02
 1.71337200E-03,  2.52327530E-01,  2.36275420E-02, -1.38879600E+03, -5.47252260E+02
 1.74597520E-03,  2.53258110E-01,  2.37688960E-02, -1.76768600E+03, -9.29374270E+02
 1.76480610E-03,  2.53843130E-01,  2.38582310E-02, -2.11558840E+03, -1.35659850E+03
 1.77521240E-03,  2.54210980E-01,  2.39143300E-02, -2.35940750E+03, -1.48960460E+03
 1.78170220E-03,  2.54442210E-01,  2.39497480E-02, -2.45870390E+03, -1.56040030E+03
 1.78576050E-03,  2.54587590E-01,  2.39720770E-02, -2.49278780E+03, -1.55218540E+03
 1.78830280E-03,  2.54678960E-01,  2.39861400E-02, -1.94352660E+03, -1.28230410E+03
 1.78989720E-03,  2.54736420E-01,  2.39949900E-02, -1.27471260E+03, -8.21045720E+02
