Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
1	-3.3333	15.	5.9623	1.1796e-006
2	-6.6667	15.	6.9245	1.2333e-006
25	1.7347e-015	15.	5.	1.3178e-006
26	-10.	15.	7.8868	8.7435e-007
27	-10.	10.	7.8868	6.7759e-007
28	-10.	10.	15.774	1.0347e-006
29	-10.	15.	15.774	1.7692e-006
30	-10.	20.	15.774	2.8548e-006
31	-10.	20.	7.8868	1.7383e-006
32	-10.	10.	0.	6.736e-007
33	-10.	15.	0.	1.0548e-006
34	-10.	20.	0.	1.7206e-006
58	1.7347e-015	10.	0.	9.8412e-007
59	-6.6667	15.	0.	1.3023e-006
60	-3.3333	15.	0.	1.005e-006
61	1.7347e-015	15.	0.	1.0861e-006
62	-6.6667	10.	0.	9.0569e-007
63	-3.3333	10.	0.	9.8049e-007
64	-6.6667	20.	0.	2.0121e-006
65	-3.3333	20.	0.	1.7766e-006
66	1.7347e-015	20.	0.	2.3404e-006
67	-6.6667	20.	6.9245	2.1201e-006
68	-3.3333	20.	5.9623	2.1712e-006
69	1.7347e-015	20.	5.	2.8493e-006
70	-6.6667	20.	13.849	3.1824e-006
71	1.7347e-015	20.	10.	4.3971e-006
72	-3.3333	20.	11.925	3.3829e-006
73	-6.6667	15.	13.849	1.9825e-006
74	-3.3333	15.	11.925	2.0757e-006
75	-6.6667	10.	13.849	1.168e-006
76	-3.3333	10.	11.925	1.5779e-006
77	1.7347e-015	10.	10.	1.7248e-006
78	1.7347e-015	15.	10.	2.6996e-006
107	-6.6667	10.	6.9245	9.4981e-007
108	-3.3333	10.	5.9623	1.5452e-006
109	1.7347e-015	10.	5.	1.9515e-006
3	-6.6667	15.	16.925	3.2317e-006
4	-3.3333	15.	15.962	2.5452e-006
15	-3.3333	15.	20.	4.2711e-006
16	-6.6667	15.	20.	4.7576e-006
28	-10.	10.	15.774	1.3534e-006
29	-10.	15.	15.774	2.0033e-006
30	-10.	20.	15.774	3.0283e-006
43	1.7347e-015	10.	20.	6.3528e-006
44	-3.3333	10.	20.	4.8e-006
45	-6.6667	10.	20.	4.5952e-006
46	-10.	10.	20.	3.6976e-006
70	-6.6667	20.	13.849	3.6317e-006
71	1.7347e-015	20.	10.	4.5867e-006
72	-3.3333	20.	11.925	3.3896e-006
73	-6.6667	15.	13.849	2.4448e-006
74	-3.3333	15.	11.925	2.0948e-006
75	-6.6667	10.	13.849	2.0926e-006
76	-3.3333	10.	11.925	2.2471e-006
77	1.7347e-015	10.	10.	3.2963e-006
78	1.7347e-015	15.	10.	2.8459e-006
79	1.7347e-015	15.	15.	3.3874e-006
80	1.7347e-015	15.	20.	5.4553e-006
81	1.7347e-015	10.	15.	4.3524e-006
82	1.7347e-015	20.	20.	7.3848e-006
83	1.7347e-015	20.	15.	5.345e-006
84	-10.	15.	17.887	2.5425e-006
85	-10.	15.	20.	3.9699e-006
86	-10.	10.	17.887	2.3318e-006
87	-10.	20.	20.	5.1953e-006
88	-10.	20.	17.887	3.6655e-006
89	-6.6667	20.	16.925	4.5592e-006
90	-3.3333	20.	15.962	4.1093e-006
91	-6.6667	20.	20.	6.086e-006
92	-3.3333	20.	20.	5.8452e-006
93	-3.3333	10.	15.962	3.0585e-006
94	-6.6667	10.	16.925	3.0506e-006
5	-6.6667	5.	16.925	8.6175e-007
6	-3.3333	5.	15.962	2.8402e-007
19	-3.3333	5.	11.925	9.6765e-007
20	-6.6667	5.	13.849	5.8907e-007
28	-10.	10.	15.774	1.5237e-006
35	-6.6667	5.	20.	1.295e-006
36	-3.3333	5.	20.	3.3119e-007
37	-6.6667	0.	20.	-6.5296e-008
38	-3.3333	0.	20.	-6.1122e-007
39	-10.	5.	20.	1.1581e-006
40	-10.	0.	20.	3.0796e-007
41	1.7347e-015	5.	20.	-6.0354e-007
42	1.7347e-015	0.	20.	4.0416e-007
43	1.7347e-015	10.	20.	5.3344e-006
44	-3.3333	10.	20.	5.4578e-006
45	-6.6667	10.	20.	4.3327e-006
46	-10.	10.	20.	3.9403e-006
75	-6.6667	10.	13.849	1.8952e-006
76	-3.3333	10.	11.925	2.6409e-006
77	1.7347e-015	10.	10.	2.8773e-006
81	1.7347e-015	10.	15.	3.5828e-006
86	-10.	10.	17.887	2.5361e-006
93	-3.3333	10.	15.962	3.5683e-006
94	-6.6667	10.	16.925	2.8401e-006
95	1.7347e-015	5.	15.	-5.5181e-007
96	1.7347e-015	5.	10.	5.1174e-007
97	1.7347e-015	-1.1848e-015	15.	6.4567e-007
98	1.7347e-015	-1.7347e-015	10.	-2.8506e-007
99	-10.	5.	17.887	7.1485e-007
100	-10.	5.	15.774	3.4017e-007
101	-10.	0.	17.887	1.8527e-007
102	-10.	0.	15.774	2.0882e-007
103	-6.6667	-1.3965e-015	16.925	-1.4133e-007
104	-3.3333	-1.2907e-015	15.962	-3.3933e-007
105	-6.6667	-1.7347e-015	13.849	-6.9714e-008
106	-3.3333	-1.7347e-015	11.925	-7.1906e-007
7	-6.6667	5.	6.9245	3.5601e-007
8	-3.3333	5.	5.9623	5.3272e-007
17	-6.6667	5.	0.	1.0739e-007
18	-3.3333	5.	0.	5.2533e-009
19	-3.3333	5.	11.925	5.9618e-007
20	-6.6667	5.	13.849	1.9352e-007
27	-10.	10.	7.8868	6.3446e-007
28	-10.	10.	15.774	1.1036e-006
32	-10.	10.	0.	7.547e-007
56	1.7347e-015	0.	0.	-1.6904e-006
57	1.7347e-015	5.	0.	-2.4317e-007
58	1.7347e-015	10.	0.	9.2858e-007
62	-6.6667	10.	0.	9.0853e-007
63	-3.3333	10.	0.	1.0291e-006
75	-6.6667	10.	13.849	1.2091e-006
76	-3.3333	10.	11.925	1.5319e-006
77	1.7347e-015	10.	10.	1.6568e-006
96	1.7347e-015	5.	10.	7.4532e-007
98	1.7347e-015	-1.7347e-015	10.	-3.6939e-007
100	-10.	5.	15.774	5.8043e-008
102	-10.	0.	15.774	4.6872e-008
105	-6.6667	-1.7347e-015	13.849	-9.6239e-009
106	-3.3333	-1.7347e-015	11.925	-2.1462e-007
107	-6.6667	10.	6.9245	9.4648e-007
108	-3.3333	10.	5.9623	1.5811e-006
109	1.7347e-015	10.	5.	1.8558e-006
110	-10.	5.	7.8868	2.5635e-007
111	-10.	5.	0.	8.393e-008
112	-10.	0.	7.8868	-2.6817e-007
113	-10.	0.	0.	-6.1156e-007
114	-6.6667	0.	6.9245	-4.553e-007
115	-3.3333	0.	5.9623	-8.2402e-007
116	-6.6667	0.	0.	-8.9497e-007
117	-3.3333	0.	0.	-1.3452e-006
118	1.7347e-015	0.	5.	-1.1044e-006
140	1.7347e-015	5.	5.	5.2741e-007
9	6.6667	15.	13.075	3.3443e-004
10	3.3333	15.	14.038	2.9914e-004
21	10.	15.	12.113	3.1794e-004
43	1.7347e-015	10.	20.	3.1646e-004
71	1.7347e-015	20.	10.	2.1538e-004
77	1.7347e-015	10.	10.	2.4878e-005
78	1.7347e-015	15.	10.	1.7508e-004
79	1.7347e-015	15.	15.	1.9937e-004
80	1.7347e-015	15.	20.	3.1278e-004
81	1.7347e-015	10.	15.	2.393e-004
82	1.7347e-015	20.	20.	3.6308e-004
83	1.7347e-015	20.	15.	2.6993e-004
119	6.6667	20.	13.075	3.4269e-004
120	3.3333	20.	14.038	3.4329e-004
121	10.	20.	12.113	3.2709e-004
122	3.3333	20.	8.0755	2.6926e-004
123	10.	20.	4.2265	2.1832e-004
124	6.6667	20.	6.151	2.5366e-004
125	10.	20.	20.	3.0643e-004
126	6.6667	20.	20.	3.1694e-004
127	3.3333	20.	20.	3.858e-004
128	6.6667	10.	13.075	3.1573e-004
129	3.3333	10.	14.038	2.9986e-004
130	10.	10.	12.113	3.2402e-004
131	10.	10.	4.2265	2.1946e-004
132	6.6667	10.	6.151	1.8047e-004
133	3.3333	10.	8.0755	1.1392e-004
134	10.	10.	20.	2.9513e-004
135	6.6667	10.	20.	3.1514e-004
136	3.3333	10.	20.	3.5874e-004
137	6.6667	15.	20.	3.3232e-004
138	3.3333	15.	20.	3.7195e-004
139	10.	15.	20.	3.07e-004
150	6.6667	15.	6.151	2.3152e-004
151	3.3333	15.	8.0755	2.1011e-004
152	10.	15.	4.2265	2.2552e-004
11	6.6667	5.	3.0755	-2.0718e-007
12	3.3333	5.	4.0377	-5.5387e-008
22	3.3333	5.	8.0755	1.4615e-008
23	6.6667	5.	6.151	-4.1922e-007
47	6.6667	5.	0.	-7.3081e-007
48	3.3333	5.	0.	-8.7706e-007
49	6.6667	10.	0.	7.3598e-008
50	3.3333	10.	0.	6.5675e-007
51	10.	10.	0.	7.6458e-007
52	10.	5.	0.	-1.2513e-007
53	10.	0.	0.	-2.1664e-007
54	6.6667	0.	0.	-8.5807e-007
55	3.3333	0.	0.	-1.5345e-006
56	1.7347e-015	0.	0.	-1.5767e-006
57	1.7347e-015	5.	0.	-7.3673e-007
58	1.7347e-015	10.	0.	1.2998e-006
77	1.7347e-015	10.	10.	4.6752e-006
96	1.7347e-015	5.	10.	2.2852e-007
98	1.7347e-015	-1.7347e-015	10.	-3.8998e-007
109	1.7347e-015	10.	5.	3.5915e-006
118	1.7347e-015	0.	5.	-1.0571e-006
131	10.	10.	4.2265	9.1828e-006
132	6.6667	10.	6.151	6.0121e-006
133	3.3333	10.	8.0755	5.3003e-006
140	1.7347e-015	5.	5.	7.8918e-008
141	6.6667	0.	3.0755	-3.9557e-007
142	3.3333	0.	4.0377	-9.8268e-007
143	6.6667	-1.7347e-015	6.151	-3.2227e-008
144	3.3333	-1.7347e-015	8.0755	-3.6607e-007
145	10.	0.	4.2265	2.8965e-007
146	10.	0.	2.1132	1.2996e-007
147	10.	5.	2.1132	1.1426e-008
148	10.	5.	4.2265	-6.9674e-007
149	10.	10.	2.1132	2.2938e-006
153	6.6667	10.	3.0755	2.1036e-006
154	3.3333	10.	4.0377	3.3384e-006
13	3.3333	15.	4.0377	1.1378e-004
