Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
1	-3.3333	15.	5.9623	1.1796e-006
2	-6.6667	15.	6.9245	1.2333e-006
25	1.7347e-015	15.	5.	1.3178e-006
26	-10.	15.	7.8868	8.7435e-007
27	-10.	10.	7.8868	6.7759e-007
28	-10.	10.	15.774	1.0347e-006
29	-10.	15.	15.774	1.7692e-006
30	-10.	20.	15.774	2.8548e-006
31	-10.	20.	7.8868	1.7383e-006
32	-10.	10.	0.	6.736e-007
33	-10.	15.	0.	1.0548e-006
34	-10.	20.	0.	1.7206e-006
58	1.7347e-015	10.	0.	9.8412e-007
59	-6.6667	15.	0.	1.3023e-006
60	-3.3333	15.	0.	1.005e-006
61	1.7347e-015	15.	0.	1.0861e-006
62	-6.6667	10.	0.	9.0569e-007
63	-3.3333	10.	0.	9.8049e-007
64	-6.6667	20.	0.	2.0121e-006
65	-3.3333	20.	0.	1.7766e-006
66	1.7347e-015	20.	0.	2.3404e-006
67	-6.6667	20.	6.9245	2.1201e-006
68	-3.3333	20.	5.9623	2.1712e-006
69	1.7347e-015	20.	5.	2.8493e-006
70	-6.6667	20.	13.849	3.1824e-006
71	1.7347e-015	20.	10.	4.3971e-006
72	-3.3333	20.	11.925	3.3829e-006
73	-6.6667	15.	13.849	1.9825e-006
74	-3.3333	15.	11.925	2.0757e-006
75	-6.6667	10.	13.849	1.168e-006
76	-3.3333	10.	11.925	1.5779e-006
77	1.7347e-015	10.	10.	1.7248e-006
78	1.7347e-015	15.	10.	2.6996e-006
107	-6.6667	10.	6.9245	9.4981e-007
108	-3.3333	10.	5.9623	1.5452e-006
109	1.7347e-015	10.	5.	1.9515e-006
