Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
1	-3.3333	15.	5.9623	0.20748
2	-6.6667	15.	6.9245	0.2596
25	1.7347e-015	15.	5.	0.15002
26	-10.	15.	7.8868	0.24843
27	-10.	10.	7.8868	0.19756
28	-10.	10.	15.774	0.28355
29	-10.	15.	15.774	0.47447
30	-10.	20.	15.774	0.7361
31	-10.	20.	7.8868	0.45557
32	-10.	10.	0.	0.18392
33	-10.	15.	0.	0.28611
34	-10.	20.	0.	0.44205
58	1.7347e-015	10.	0.	0.17841
59	-6.6667	15.	0.	0.2689
60	-3.3333	15.	0.	0.20573
61	1.7347e-015	15.	0.	0.17928
62	-6.6667	10.	0.	0.19593
63	-3.3333	10.	0.	0.18213
64	-6.6667	20.	0.	0.4055
65	-3.3333	20.	0.	0.3679
66	1.7347e-015	20.	0.	0.37459
67	-6.6667	20.	6.9245	0.43872
68	-3.3333	20.	5.9623	0.43463
69	1.7347e-015	20.	5.	0.42538
70	-6.6667	20.	13.849	0.67725
71	1.7347e-015	20.	10.	0.71565
72	-3.3333	20.	11.925	0.68387
73	-6.6667	15.	13.849	0.43058
74	-3.3333	15.	11.925	0.38985
75	-6.6667	10.	13.849	0.26616
76	-3.3333	10.	11.925	0.29151
77	1.7347e-015	10.	10.	0.2531
78	1.7347e-015	15.	10.	0.40805
107	-6.6667	10.	6.9245	0.22184
108	-3.3333	10.	5.9623	0.3033
109	1.7347e-015	10.	5.	0.37875
3	-6.6667	15.	16.925	0.64966
4	-3.3333	15.	15.962	0.51293
15	-3.3333	15.	20.	0.88273
16	-6.6667	15.	20.	0.9498
28	-10.	10.	15.774	0.3758
29	-10.	15.	15.774	0.5552
30	-10.	20.	15.774	0.78532
43	1.7347e-015	10.	20.	1.0141
44	-3.3333	10.	20.	0.99827
45	-6.6667	10.	20.	0.92957
46	-10.	10.	20.	0.95737
70	-6.6667	20.	13.849	0.75204
71	1.7347e-015	20.	10.	0.7097
72	-3.3333	20.	11.925	0.68205
73	-6.6667	15.	13.849	0.51738
74	-3.3333	15.	11.925	0.4037
75	-6.6667	10.	13.849	0.47616
76	-3.3333	10.	11.925	0.41161
77	1.7347e-015	10.	10.	0.50185
78	1.7347e-015	15.	10.	0.36176
79	1.7347e-015	15.	15.	0.40976
80	1.7347e-015	15.	20.	0.81054
81	1.7347e-015	10.	15.	0.64013
82	1.7347e-015	20.	20.	1.1954
83	1.7347e-015	20.	15.	0.82895
84	-10.	15.	17.887	0.70096
85	-10.	15.	20.	1.0338
86	-10.	10.	17.887	0.64099
87	-10.	20.	20.	1.3173
88	-10.	20.	17.887	0.95664
89	-6.6667	20.	16.925	0.92637
90	-3.3333	20.	15.962	0.8475
91	-6.6667	20.	20.	1.2125
92	-3.3333	20.	20.	1.2157
93	-3.3333	10.	15.962	0.62717
94	-6.6667	10.	16.925	0.63026
5	-6.6667	5.	16.925	1.9583e-003
6	-3.3333	5.	15.962	3.8832e-004
19	-3.3333	5.	11.925	1.8038e-003
20	-6.6667	5.	13.849	1.4963e-003
28	-10.	10.	15.774	3.7283e-003
35	-6.6667	5.	20.	2.7174e-003
36	-3.3333	5.	20.	5.8793e-004
37	-6.6667	0.	20.	-1.4276e-004
38	-3.3333	0.	20.	-5.7585e-004
39	-10.	5.	20.	3.1413e-003
40	-10.	0.	20.	8.8657e-004
41	1.7347e-015	5.	20.	-1.1168e-003
42	1.7347e-015	0.	20.	4.2937e-004
43	1.7347e-015	10.	20.	1.2312e-002
44	-3.3333	10.	20.	1.0926e-002
45	-6.6667	10.	20.	9.2756e-003
46	-10.	10.	20.	9.6874e-003
75	-6.6667	10.	13.849	4.2675e-003
76	-3.3333	10.	11.925	5.099e-003
77	1.7347e-015	10.	10.	4.3846e-003
81	1.7347e-015	10.	15.	7.8632e-003
86	-10.	10.	17.887	6.3016e-003
93	-3.3333	10.	15.962	6.8482e-003
94	-6.6667	10.	16.925	6.1878e-003
95	1.7347e-015	5.	15.	-1.1856e-003
96	1.7347e-015	5.	10.	1.0107e-003
97	1.7347e-015	-1.1848e-015	15.	8.6655e-004
98	1.7347e-015	-1.7347e-015	10.	-9.2375e-004
99	-10.	5.	17.887	2.1425e-003
100	-10.	5.	15.774	1.1604e-003
101	-10.	0.	17.887	6.2769e-004
102	-10.	0.	15.774	6.6946e-004
103	-6.6667	-1.3965e-015	16.925	-1.7365e-004
104	-3.3333	-1.2907e-015	15.962	-1.4771e-004
105	-6.6667	-1.7347e-015	13.849	2.295e-004
106	-3.3333	-1.7347e-015	11.925	-1.9171e-003
7	-6.6667	5.	6.9245	7.6196e-002
8	-3.3333	5.	5.9623	0.10367
17	-6.6667	5.	0.	2.2425e-002
18	-3.3333	5.	0.	-5.1699e-003
19	-3.3333	5.	11.925	0.11196
20	-6.6667	5.	13.849	4.1168e-002
27	-10.	10.	7.8868	0.15831
28	-10.	10.	15.774	0.27478
32	-10.	10.	0.	0.19377
56	1.7347e-015	0.	0.	-0.31965
57	1.7347e-015	5.	0.	-3.5005e-002
58	1.7347e-015	10.	0.	0.19013
62	-6.6667	10.	0.	0.18687
63	-3.3333	10.	0.	0.19976
75	-6.6667	10.	13.849	0.29183
76	-3.3333	10.	11.925	0.28157
77	1.7347e-015	10.	10.	0.29497
96	1.7347e-015	5.	10.	0.15285
98	1.7347e-015	-1.7347e-015	10.	-5.094e-002
100	-10.	5.	15.774	2.0762e-002
102	-10.	0.	15.774	1.6159e-002
105	-6.6667	-1.7347e-015	13.849	7.1609e-003
106	-3.3333	-1.7347e-015	11.925	-4.5245e-002
107	-6.6667	10.	6.9245	0.19605
108	-3.3333	10.	5.9623	0.30689
109	1.7347e-015	10.	5.	0.36887
110	-10.	5.	7.8868	7.2131e-002
111	-10.	5.	0.	2.439e-002
112	-10.	0.	7.8868	-6.5844e-002
113	-10.	0.	0.	-0.14734
114	-6.6667	0.	6.9245	-9.8954e-002
115	-3.3333	0.	5.9623	-0.18021
116	-6.6667	0.	0.	-0.18579
117	-3.3333	0.	0.	-0.27207
118	1.7347e-015	0.	5.	-0.21034
140	1.7347e-015	5.	5.	0.11818
9	6.6667	15.	13.075	0.67354
10	3.3333	15.	14.038	0.60388
21	10.	15.	12.113	0.67453
43	1.7347e-015	10.	20.	0.81201
