Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
1	-3.3333	15.	5.9623	0.20748
2	-6.6667	15.	6.9245	0.2596
25	1.7347e-015	15.	5.	0.15002
26	-10.	15.	7.8868	0.24843
27	-10.	10.	7.8868	0.19756
28	-10.	10.	15.774	0.28355
29	-10.	15.	15.774	0.47447
30	-10.	20.	15.774	0.7361
31	-10.	20.	7.8868	0.45557
32	-10.	10.	0.	0.18392
33	-10.	15.	0.	0.28611
34	-10.	20.	0.	0.44205
58	1.7347e-015	10.	0.	0.17841
59	-6.6667	15.	0.	0.2689
60	-3.3333	15.	0.	0.20573
61	1.7347e-015	15.	0.	0.17928
62	-6.6667	10.	0.	0.19593
63	-3.3333	10.	0.	0.18213
64	-6.6667	20.	0.	0.4055
65	-3.3333	20.	0.	0.3679
66	1.7347e-015	20.	0.	0.37459
67	-6.6667	20.	6.9245	0.43872
68	-3.3333	20.	5.9623	0.43463
69	1.7347e-015	20.	5.	0.42538
70	-6.6667	20.	13.849	0.67725
71	1.7347e-015	20.	10.	0.71565
72	-3.3333	20.	11.925	0.68387
73	-6.6667	15.	13.849	0.43058
74	-3.3333	15.	11.925	0.38985
75	-6.6667	10.	13.849	0.26616
76	-3.3333	10.	11.925	0.29151
77	1.7347e-015	10.	10.	0.2531
78	1.7347e-015	15.	10.	0.40805
107	-6.6667	10.	6.9245	0.22184
108	-3.3333	10.	5.9623	0.3033
109	1.7347e-015	10.	5.	0.37875
