Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
5	-6.6667	5.	16.925	1.9583e-003
6	-3.3333	5.	15.962	3.8832e-004
19	-3.3333	5.	11.925	1.8038e-003
20	-6.6667	5.	13.849	1.4963e-003
28	-10.	10.	15.774	3.7283e-003
35	-6.6667	5.	20.	2.7174e-003
36	-3.3333	5.	20.	5.8793e-004
37	-6.6667	0.	20.	-1.4276e-004
38	-3.3333	0.	20.	-5.7585e-004
39	-10.	5.	20.	3.1413e-003
40	-10.	0.	20.	8.8657e-004
41	1.7347e-015	5.	20.	-1.1168e-003
42	1.7347e-015	0.	20.	4.2937e-004
43	1.7347e-015	10.	20.	1.2312e-002
44	-3.3333	10.	20.	1.0926e-002
45	-6.6667	10.	20.	9.2756e-003
46	-10.	10.	20.	9.6874e-003
75	-6.6667	10.	13.849	4.2675e-003
76	-3.3333	10.	11.925	5.099e-003
77	1.7347e-015	10.	10.	4.3846e-003
81	1.7347e-015	10.	15.	7.8632e-003
86	-10.	10.	17.887	6.3016e-003
93	-3.3333	10.	15.962	6.8482e-003
94	-6.6667	10.	16.925	6.1878e-003
95	1.7347e-015	5.	15.	-1.1856e-003
96	1.7347e-015	5.	10.	1.0107e-003
97	1.7347e-015	-1.1848e-015	15.	8.6655e-004
98	1.7347e-015	-1.7347e-015	10.	-9.2375e-004
99	-10.	5.	17.887	2.1425e-003
100	-10.	5.	15.774	1.1604e-003
101	-10.	0.	17.887	6.2769e-004
102	-10.	0.	15.774	6.6946e-004
103	-6.6667	-1.3965e-015	16.925	-1.7365e-004
104	-3.3333	-1.2907e-015	15.962	-1.4771e-004
105	-6.6667	-1.7347e-015	13.849	2.295e-004
106	-3.3333	-1.7347e-015	11.925	-1.9171e-003
