Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
2	15.	5.	5.	5.2283e-004
4	15.	10.	5.	5.1703e-004
6	10.	5.	0.	3.7474e-004
7	10.	10.	0.	4.0983e-004
13	10.	0.	0.	4.0983e-004
14	15.	0.	5.	5.1703e-004
15	20.	0.	5.	5.0013e-004
16	20.	0.	10.	4.499e-004
17	15.	0.	10.	5.0946e-004
18	15.	0.	0.	5.0946e-004
19	20.	0.	0.	4.499e-004
20	10.	0.	10.	4.0983e-004
21	10.	0.	5.	3.7474e-004
32	10.	10.	5.	3.7474e-004
33	10.	10.	10.	4.0983e-004
34	10.	5.	5.	3.3792e-004
35	10.	5.	10.	3.7474e-004
36	15.	5.	0.	5.1703e-004
37	15.	10.	0.	5.0946e-004
38	20.	10.	0.	4.499e-004
39	20.	5.	0.	5.0013e-004
40	15.	5.	10.	5.1703e-004
41	15.	10.	10.	5.0946e-004
42	20.	10.	10.	4.499e-004
43	20.	5.	10.	5.0013e-004
44	20.	5.	5.	5.4854e-004
45	20.	10.	5.	5.0013e-004
