Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
1	5.	5.	5.	0.80173
3	5.	5.	10.	0.99901
5	5.	5.	0.	0.99901
6	10.	5.	0.	1.0006
7	10.	10.	0.	1.217
8	5.	10.	0.	1.2003
9	0.	10.	0.	1.1876
10	0.	5.	0.	0.99738
11	0.	0.	0.	1.1876
12	5.	0.	0.	1.2003
13	10.	0.	0.	1.217
20	10.	0.	10.	1.217
21	10.	0.	5.	1.0006
22	5.	0.	5.	0.99901
23	5.	0.	10.	1.2003
24	0.	0.	10.	1.1876
25	0.	0.	5.	0.99738
26	0.	5.	5.	0.81765
27	0.	5.	10.	0.99738
28	0.	10.	5.	0.99738
29	0.	10.	10.	1.1876
30	5.	10.	5.	0.99901
31	5.	10.	10.	1.2003
32	10.	10.	5.	1.0006
33	10.	10.	10.	1.217
34	10.	5.	5.	0.78169
35	10.	5.	10.	1.0006
