Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
1	6.6667	3.3333	3.3333	0.11771
2	6.6667	6.6667	3.3333	1.0597e-003
3	6.6667	3.3333	6.6667	0.23763
4	6.6667	6.6667	6.6667	-3.576e-002
5	3.3333	3.3333	3.3333	0.88339
6	3.3333	6.6667	3.3333	-3.7115e-002
7	3.3333	3.3333	6.6667	0.60153
8	3.3333	6.6667	6.6667	-5.4271e-002
9	3.3333	0.	6.6667	1.4568
10	3.3333	0.	3.3333	2.224
11	6.6667	0.	6.6667	2.2173
12	6.6667	0.	3.3333	3.8208
13	6.6667	10.	3.3333	-0.29806
14	6.6667	10.	6.6667	-0.32776
15	3.3333	10.	3.3333	-0.54029
16	3.3333	10.	6.6667	-0.51884
17	10.	10.	6.6667	-0.20512
18	10.	10.	3.3333	-0.26822
19	10.	10.	0.	-0.31486
20	6.6667	10.	0.	-0.3042
21	3.3333	10.	0.	-0.50221
22	0.	10.	0.	-0.73022
23	0.	10.	3.3333	-0.77869
24	0.	10.	6.6667	-0.62148
25	0.	10.	10.	-0.73129
26	3.3333	10.	10.	-0.57719
27	6.6667	10.	10.	-0.30431
28	10.	10.	10.	-0.14699
29	3.3333	3.3333	10.	0.39363
30	3.3333	6.6667	10.	-0.13138
31	6.6667	3.3333	10.	0.19866
32	6.6667	6.6667	10.	-0.12748
33	3.3333	0.	10.	0.87742
34	6.6667	0.	10.	-0.9485
35	10.	6.6667	10.	3.313e-002
36	10.	3.3333	10.	0.22635
37	10.	0.	10.	-0.92082
38	0.	6.6667	10.	-0.14074
39	0.	3.3333	10.	0.64413
40	0.	0.	10.	1.3326
41	0.	6.6667	3.3333	7.0147e-002
42	0.	6.6667	6.6667	2.7907e-003
43	0.	3.3333	3.3333	0.95247
44	0.	3.3333	6.6667	0.63911
45	0.	0.	3.3333	1.856
46	0.	0.	6.6667	1.2481
47	0.	6.6667	0.	0.18494
48	0.	3.3333	0.	1.1267
49	0.	0.	0.	2.1175
50	6.6667	6.6667	0.	-1.8256e-002
51	3.3333	6.6667	0.	-7.7218e-003
52	6.6667	3.3333	0.	2.0476e-002
53	3.3333	3.3333	0.	0.98635
54	6.6667	0.	0.	4.9876
55	3.3333	0.	0.	2.5873
56	10.	6.6667	0.	8.8507e-002
57	10.	3.3333	0.	-0.79764
58	10.	0.	0.	6.4922
59	10.	3.3333	3.3333	-0.55374
60	10.	3.3333	6.6667	-0.34285
61	10.	6.6667	3.3333	7.4946e-002
62	10.	6.6667	6.6667	6.5723e-002
63	10.	0.	6.6667	2.9379
64	10.	0.	3.3333	4.7844
37	10.	0.	10.	0.78971
58	10.	0.	0.	9.8416
63	10.	0.	6.6667	3.6227
64	10.	0.	3.3333	6.8926
65	20.	0.	10.	-1.4384
66	20.	0.	0.	10.497
67	13.333	0.	10.	0.47255
68	16.667	0.	10.	-0.59482
69	13.333	0.	0.	10.083
70	16.667	0.	0.	10.449
71	20.	0.	6.6667	9.6388
72	20.	0.	3.3333	9.3304
73	16.667	0.	3.3333	9.0324
74	16.667	0.	6.6667	7.3745
75	13.333	0.	6.6667	4.3791
76	13.333	0.	3.3333	7.8306
