Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
1	9.	1.	1.	8.7903e-002
2	9.	2.	1.	0.11671
3	9.	3.	1.	-9.0788e-002
4	9.	4.	1.	-5.7042e-002
5	9.	5.	1.	-4.7602e-002
6	9.	6.	1.	-4.0144e-002
7	9.	7.	1.	-4.2964e-002
8	9.	8.	1.	-5.2591e-002
9	9.	9.	1.	-6.1299e-002
10	9.	1.	2.	5.5821e-002
11	9.	2.	2.	0.15074
12	9.	3.	2.	-6.4786e-002
13	9.	4.	2.	-3.8522e-002
14	9.	5.	2.	-3.7899e-002
15	9.	6.	2.	-3.346e-002
16	9.	7.	2.	-3.7534e-002
17	9.	8.	2.	-4.7102e-002
18	9.	9.	2.	-5.6324e-002
19	9.	1.	3.	2.746e-002
20	9.	2.	3.	0.12916
21	9.	3.	3.	-4.939e-002
22	9.	4.	3.	-2.8205e-002
23	9.	5.	3.	-3.0214e-002
24	9.	6.	3.	-2.8642e-002
25	9.	7.	3.	-3.4099e-002
26	9.	8.	3.	-4.4542e-002
27	9.	9.	3.	-5.5444e-002
28	9.	1.	4.	3.8573e-002
29	9.	2.	4.	0.11435
30	9.	3.	4.	-3.943e-002
31	9.	4.	4.	-1.8732e-002
32	9.	5.	4.	-2.2692e-002
33	9.	6.	4.	-2.3594e-002
34	9.	7.	4.	-3.0553e-002
35	9.	8.	4.	-4.1948e-002
36	9.	9.	4.	-5.415e-002
37	9.	1.	5.	6.339e-002
38	9.	2.	5.	0.10982
39	9.	3.	5.	-2.5771e-002
40	9.	4.	5.	-1.0369e-002
41	9.	5.	5.	-1.5388e-002
42	9.	6.	5.	-1.8535e-002
43	9.	7.	5.	-2.6924e-002
44	9.	8.	5.	-3.9128e-002
45	9.	9.	5.	-5.2257e-002
46	9.	1.	6.	0.10442
47	9.	2.	6.	0.1115
48	9.	3.	6.	-7.9104e-003
49	9.	4.	6.	-1.0617e-003
50	9.	5.	6.	-8.3606e-003
51	9.	6.	6.	-1.4032e-002
52	9.	7.	6.	-2.3705e-002
53	9.	8.	6.	-3.6501e-002
54	9.	9.	6.	-5.0218e-002
55	9.	1.	7.	0.16625
56	9.	2.	7.	0.11722
57	9.	3.	7.	1.3165e-002
58	9.	4.	7.	8.9721e-003
59	9.	5.	7.	-2.7401e-003
60	9.	6.	7.	-1.0928e-002
61	9.	7.	7.	-2.156e-002
62	9.	8.	7.	-3.4634e-002
63	9.	9.	7.	-4.8532e-002
64	9.	1.	8.	0.2665
65	9.	2.	8.	0.13497
66	9.	3.	8.	3.3412e-002
67	9.	4.	8.	1.28e-002
68	9.	5.	8.	-1.4683e-003
69	9.	6.	8.	-1.0757e-002
70	9.	7.	8.	-2.0921e-002
71	9.	8.	8.	-3.3689e-002
72	9.	9.	8.	-4.7418e-002
73	9.	1.	9.	0.47338
74	9.	2.	9.	6.8067e-002
75	9.	3.	9.	1.9422e-002
76	9.	4.	9.	-1.3791e-003
77	9.	5.	9.	-9.7682e-003
78	9.	6.	9.	-1.4957e-002
79	9.	7.	9.	-2.1609e-002
80	9.	8.	9.	-3.2e-002
81	9.	9.	9.	-4.5377e-002
82	8.	1.	1.	3.1105
83	8.	2.	1.	0.31817
84	8.	3.	1.	6.2948e-002
85	8.	4.	1.	-5.2817e-002
86	8.	5.	1.	-6.6789e-002
87	8.	6.	1.	-7.7265e-002
88	8.	7.	1.	-9.2707e-002
89	8.	8.	1.	-0.11745
90	8.	9.	1.	-0.13864
91	8.	1.	2.	2.9239
92	8.	2.	2.	0.34047
93	8.	3.	2.	0.10062
94	8.	4.	2.	-2.1369e-002
95	8.	5.	2.	-4.4267e-002
96	8.	6.	2.	-6.106e-002
97	8.	7.	2.	-7.9428e-002
98	8.	8.	2.	-0.10484
99	8.	9.	2.	-0.12736
100	8.	1.	3.	2.6538
101	8.	2.	3.	0.32054
102	8.	3.	3.	0.10575
103	8.	4.	3.	-5.5999e-003
104	8.	5.	3.	-3.0173e-002
105	8.	6.	3.	-4.9888e-002
106	8.	7.	3.	-7.0816e-002
107	8.	8.	3.	-9.8041e-002
108	8.	9.	3.	-0.1233
109	8.	1.	4.	2.3555
110	8.	2.	4.	0.30068
111	8.	3.	4.	0.1076
112	8.	4.	4.	6.6702e-003
113	8.	5.	4.	-1.8798e-002
114	8.	6.	4.	-4.0526e-002
115	8.	7.	4.	-6.3569e-002
116	8.	8.	4.	-9.2401e-002
117	8.	9.	4.	-0.11994
118	8.	1.	5.	2.0366
119	8.	2.	5.	0.28865
120	8.	3.	5.	0.1136
121	8.	4.	5.	2.0313e-002
122	8.	5.	5.	-7.601e-003
123	8.	6.	5.	-3.1721e-002
124	8.	7.	5.	-5.6803e-002
125	8.	8.	5.	-8.7064e-002
126	8.	9.	5.	-0.11667
127	8.	1.	6.	1.6984
128	8.	2.	6.	0.28453
129	8.	3.	6.	0.12427
130	8.	4.	6.	3.5426e-002
131	8.	5.	6.	3.119e-003
132	8.	6.	6.	-2.3923e-002
133	8.	7.	6.	-5.1022e-002
134	8.	8.	6.	-8.2524e-002
135	8.	9.	6.	-0.11408
136	8.	1.	7.	1.3408
137	8.	2.	7.	0.28986
138	8.	3.	7.	0.13562
139	8.	4.	7.	4.8175e-002
140	8.	5.	7.	1.0579e-002
141	8.	6.	7.	-1.904e-002
142	8.	7.	7.	-4.748e-002
143	8.	8.	7.	-7.9643e-002
144	8.	9.	7.	-0.11278
145	8.	1.	8.	0.97922
146	8.	2.	8.	0.2843
147	8.	3.	8.	0.1327
148	8.	4.	8.	4.8659e-002
149	8.	5.	8.	8.7669e-003
150	8.	6.	8.	-2.0356e-002
151	8.	7.	8.	-4.765e-002
152	8.	8.	8.	-7.8839e-002
153	8.	9.	8.	-0.11251
154	8.	1.	9.	0.44893
155	8.	2.	9.	0.23268
156	8.	3.	9.	8.0419e-002
157	8.	4.	9.	2.092e-002
158	8.	5.	9.	-9.4587e-003
159	8.	6.	9.	-3.0462e-002
160	8.	7.	9.	-5.1712e-002
161	8.	8.	9.	-7.849e-002
162	8.	9.	9.	-0.11027
163	7.	1.	1.	3.1961
164	7.	2.	1.	1.2219
165	7.	3.	1.	0.32046
166	7.	4.	1.	7.4552e-002
167	7.	5.	1.	-3.6589e-002
168	7.	6.	1.	-9.0577e-002
169	7.	7.	1.	-0.13668
170	7.	8.	1.	-0.18592
171	7.	9.	1.	-0.23248
172	7.	1.	2.	3.0718
173	7.	2.	2.	1.2057
174	7.	3.	2.	0.35105
175	7.	4.	2.	0.1079
176	7.	5.	2.	-8.379e-003
177	7.	6.	2.	-6.8176e-002
178	7.	7.	2.	-0.11828
179	7.	8.	2.	-0.16925
180	7.	9.	2.	-0.21757
181	7.	1.	3.	2.8405
182	7.	2.	3.	1.1316
183	7.	3.	3.	0.35022
184	7.	4.	3.	0.1227
185	7.	5.	3.	9.6028e-003
186	7.	6.	3.	-5.2328e-002
187	7.	7.	3.	-0.10512
188	7.	8.	3.	-0.15846
189	7.	9.	3.	-0.20981
190	7.	1.	4.	2.5491
191	7.	2.	4.	1.0364
192	7.	3.	4.	0.33918
193	7.	4.	4.	0.13055
194	7.	5.	4.	2.2927e-002
195	7.	6.	4.	-3.9694e-002
196	7.	7.	4.	-9.4279e-002
197	7.	8.	4.	-0.14955
198	7.	9.	4.	-0.20343
199	7.	1.	5.	2.2248
200	7.	2.	5.	0.93156
201	7.	3.	5.	0.32716
202	7.	4.	5.	0.13717
203	7.	5.	5.	3.4652e-002
204	7.	6.	5.	-2.8615e-002
205	7.	7.	5.	-8.4682e-002
206	7.	8.	5.	-0.14157
207	7.	9.	5.	-0.19786
208	7.	1.	6.	1.875
209	7.	2.	6.	0.82163
210	7.	3.	6.	0.31547
211	7.	4.	6.	0.14295
212	7.	5.	6.	4.4743e-002
213	7.	6.	6.	-1.9499e-002
214	7.	7.	6.	-7.6826e-002
215	7.	8.	6.	-0.13507
216	7.	9.	6.	-0.19388
217	7.	1.	7.	1.5021
218	7.	2.	7.	0.70348
219	7.	3.	7.	0.29872
220	7.	4.	7.	0.14377
221	7.	5.	7.	4.958e-002
222	7.	6.	7.	-1.4795e-002
223	7.	7.	7.	-7.2285e-002
224	7.	8.	7.	-0.13101
225	7.	9.	7.	-0.19202
226	7.	1.	8.	1.089
227	7.	2.	8.	0.55951
228	7.	3.	8.	0.26668
229	7.	4.	8.	0.12868
230	7.	5.	8.	4.2284e-002
231	7.	6.	8.	-1.8571e-002
232	7.	7.	8.	-7.2971e-002
233	7.	8.	8.	-0.12974
234	7.	9.	8.	-0.1914
235	7.	1.	9.	0.60637
236	7.	2.	9.	0.37618
237	7.	3.	9.	0.19515
238	7.	4.	9.	8.2367e-002
239	7.	5.	9.	1.4509e-002
240	7.	6.	9.	-3.4658e-002
